
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
17.9349,um,Dendrite,0,1,1,100000000,510000000001,
2.48258,um,Dendrite,0,1,1,100000001,510000000076,
6.03361,um,Dendrite,0,1,1,100000002,510000000086,
3.177,um,Dendrite,0,1,1,100000003,510000000111,
2.3019,um,Dendrite,0,1,1,100000004,510000000124,
2.1012,um,Dendrite,0,1,1,100000005,510000000132,
4.54315,um,Dendrite,0,1,1,100000006,510000000141,
2.00297,um,Dendrite,0,1,1,100000006,510000000159,
9.31726,um,Dendrite,0,1,1,100000007,510000000168,
4.04711,um,Dendrite,0,1,1,100000008,510000000206,
3.50621,um,Dendrite,0,1,1,100000009,510000000223,
4.36442,um,Dendrite,0,1,1,100000010,510000000237,
4.66245,um,Dendrite,0,1,1,100000011,510000000255,
2.40853,um,Dendrite,0,1,1,100000012,510000000274,
6.45941,um,Dendrite,0,1,1,100000014,510000000285,
11.0869,um,Dendrite,0,1,1,100000015,510000000313,
4.16751,um,Dendrite,0,1,1,100000016,510000000359,
4.93361,um,Dendrite,0,1,1,100000017,510000000376,
19.4176,um,Dendrite,0,1,1,100000018,510000000396,
4.58413,um,Dendrite,0,1,1,100000019,510000000495,
10.5554,um,Dendrite,0,1,1,100000020,510000000514,
8.56266,um,Dendrite,0,1,1,100000021,510000000558,
3.5535,um,Dendrite,0,1,1,100000022,510000000577,
4.91418,um,Dendrite,0,1,1,100000023,510000000585,
2.27557,um,Dendrite,0,1,1,100000024,510000000605,
3.10074,um,Dendrite,0,1,1,100000025,510000000613,
3.34185,um,Dendrite,0,1,1,100000026,510000000625,
2.07399,um,Dendrite,0,1,1,100000027,510000000639,
4.4965,um,Dendrite,0,1,1,100000028,510000000647,
2.49304,um,Dendrite,0,1,1,100000029,510000000665,
1.9425,um,Dendrite,0,1,1,100000030,510000000675,
7.03866,um,Dendrite,0,1,1,100000031,510000000683,
3.03129,um,Dendrite,0,1,1,100000032,510000000712,
2.23701,um,Dendrite,0,1,1,100000033,510000000724,
4.6137,um,Dendrite,0,1,1,100000034,510000000733,
4.72097,um,Dendrite,0,1,1,100000035,510000000752,
5.37744,um,Dendrite,0,1,1,100000036,510000000772,
3.84863,um,Dendrite,0,1,1,100000037,510000000794,
5.47082,um,Dendrite,0,1,1,100000038,510000000809,
2.8603,um,Dendrite,0,1,1,100000039,510000000831,
4.19828,um,Dendrite,0,1,1,100000040,510000000843,
4.7494,um,Dendrite,0,1,1,100000041,510000000860,
3.76918,um,Dendrite,0,1,1,100000042,510000000879,
2.06823,um,Dendrite,0,1,1,100000043,510000000893,
10.6926,um,Dendrite,0,1,1,100000044,510000000901,
4.5191,um,Dendrite,0,1,1,100000045,510000000945,
2.26485,um,Dendrite,0,1,1,100000046,510000000964,
2.62254,um,Dendrite,0,1,1,100000047,510000000973,
1.59671,um,Dendrite,0,1,1,100000049,510000000984,
4.75732,um,Dendrite,0,1,1,100000050,510000000991,
3.08258,um,Dendrite,0,1,1,100000051,510000001009,
3.86599,um,Dendrite,0,1,1,100000052,510000001021,
1.86672,um,Dendrite,0,1,1,100000053,510000001037,
3.26958,um,Dendrite,0,1,1,100000054,510000001045,
2.02461,um,Dendrite,0,1,1,100000055,510000001057,
2.31344,um,Dendrite,0,1,1,100000056,510000001066,
3.09058,um,Dendrite,0,1,1,100000057,510000001075,
4.30999,um,Dendrite,0,1,1,100000058,510000001088,
2.05839,um,Dendrite,0,1,1,100000059,510000001106,
1.92746,um,Dendrite,0,1,1,100000060,510000001114,
1.56234,um,Dendrite,0,1,1,100000061,510000001122,
