
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
5.91293,°,Dendrite,0,1,1,100000000,510000000001,
4.70688,°,Dendrite,0,1,1,100000001,510000000091,
27.8533,°,Dendrite,0,1,1,100000002,510000000116,
-28.3271,°,Dendrite,0,1,1,100000003,510000000152,
122.077,°,Dendrite,0,1,1,100000004,510000000173,
143.235,°,Dendrite,0,1,1,100000005,510000000197,
-44.1406,°,Dendrite,0,1,1,100000006,510000000208,
-106.997,°,Dendrite,0,1,1,100000007,510000000218,
123.4,°,Dendrite,0,1,1,100000008,510000000228,
-161.131,°,Dendrite,1,1,1,100000009,510000000235,
157.563,°,Dendrite,1,2,1,100000009,510000000258,
-102.637,°,Dendrite,1,2,1,100000009,510000000272,
-171.583,°,Dendrite,0,1,1,100000010,510000000282,
38.3074,°,Dendrite,0,1,1,100000011,510000000332,
-33.7369,°,Dendrite,0,1,1,100000012,510000000345,
81.9035,°,Dendrite,0,1,1,100000013,510000000369,
82.5776,°,Dendrite,0,1,1,100000014,510000000378,
54.5471,°,Dendrite,0,1,1,100000015,510000000387,
-171.025,°,Dendrite,0,1,1,100000016,510000000437,
172.674,°,Dendrite,0,1,1,100000009,510000000490,
