
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
39002.6,39086.3,2.86577,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
38995.8,39096.7,1.33277,um,Dendrite,Dendrite Position,0,1,1,100000001,510000000091,
38985.6,39072.9,-1.6303,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000116,
39029.8,39079.1,0.317269,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000152,
38902.6,39062.6,-2.28995,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000173,
38918.8,39054.9,-1.99722,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000197,
38902,39053.1,-3.34203,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000208,
38913.3,39043.3,3.31481,um,Dendrite,Dendrite Position,0,1,1,100000007,510000000218,
38940.5,39035.1,-4.51188,um,Dendrite,Dendrite Position,0,1,1,100000008,510000000228,
39015.7,38972,-3.03356,um,Dendrite,Dendrite Position,0,1,1,100000010,510000000282,
39011.1,38992.2,-4.3826,um,Dendrite,Dendrite Position,0,1,1,100000011,510000000332,
38977.8,39113.1,-0.40785,um,Dendrite,Dendrite Position,0,1,1,100000012,510000000345,
38958.9,39117.4,0.793274,um,Dendrite,Dendrite Position,0,1,1,100000013,510000000369,
38908.6,39104.1,-3.22632,um,Dendrite,Dendrite Position,0,1,1,100000014,510000000378,
38925.7,39132.7,-3.7597,um,Dendrite,Dendrite Position,0,1,1,100000015,510000000387,
38908.2,39180.8,-1.46687,um,Dendrite,Dendrite Position,0,1,1,100000016,510000000437,
38939.1,38970.8,2.38544,um,Dendrite,Dendrite Position,0,1,1,100000009,510000000490,
38936.4,38970.3,2.00127,um,Dendrite,Dendrite Position,1,1,1,100000009,510000000235,
38937.9,38971.2,1.16359,um,Dendrite,Dendrite Position,1,2,1,100000009,510000000258,
38938.8,38969.8,2.26097,um,Dendrite,Dendrite Position,1,2,1,100000009,510000000272,
