
Dendrite Position Reference Frame
 ==================== 
Dendrite Position X Reference Frame,Dendrite Position Y Reference Frame,Dendrite Position Z Reference Frame,Unit,Category,Collection,Depth,Level,ReferenceFrame,Time,FilamentID,ID,
56.84,136.465,14.8233,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000000,510000000001,
50.2047,146.976,13.8067,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000001,510000000091,
39.757,123.413,9.67814,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000002,510000000116,
84.0106,129.066,11.9068,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000003,510000000152,
-43.3183,113.883,8.54777,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000004,510000000173,
-27.2059,106.016,8.45291,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000005,510000000197,
-44.0533,104.469,7.03016,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000006,510000000208,
-32.8072,94.2722,13.1923,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000007,510000000218,
-5.67595,86.2478,4.96039,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000008,510000000228,
68.9009,22.4826,3.29614,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000010,510000000282,
64.534,42.6786,2.94136,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000011,510000000332,
32.312,163.565,12.882,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000012,510000000345,
13.4969,168.008,14.3037,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000013,510000000369,
-36.9155,155.385,9.65676,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000014,510000000378,
-19.6161,183.794,10.5236,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000015,510000000387,
-36.6566,231.862,15.1896,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000016,510000000437,
-7.67783,21.6464,8.68049,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000009,510000000490,
-10.3345,21.2018,8.27393,um,Dendrite,Dendrite Position Reference Frame,1,1,Reference Frame 1,1,100000009,510000000235,
-8.89303,22.1,7.47952,um,Dendrite,Dendrite Position Reference Frame,1,2,Reference Frame 1,1,100000009,510000000258,
-8.0068,20.7074,8.50957,um,Dendrite,Dendrite Position Reference Frame,1,2,Reference Frame 1,1,100000009,510000000272,
