
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-161.911,°,Dendrite,0,1,1,100000000,510000000001,
128.934,°,Dendrite,0,1,1,100000001,510000000073,
73.8246,°,Dendrite,0,1,1,100000002,510000000109,
8.26955,°,Dendrite,0,1,1,100000003,510000000121,
-11.083,°,Dendrite,0,1,1,100000004,510000000150,
-118.419,°,Dendrite,0,1,1,100000005,510000000234,
-23.3104,°,Dendrite,0,1,1,100000006,510000000266,
-51.6763,°,Dendrite,0,1,1,100000007,510000000281,
-131.904,°,Dendrite,0,1,1,100000008,510000000293,
-7.10972,°,Dendrite,0,1,1,100000009,510000000307,
172.94,°,Dendrite,0,1,1,100000010,510000000324,
-40.9464,°,Dendrite,0,1,1,100000011,510000000368,
170.683,°,Dendrite,0,1,1,100000012,510000000380,
-141.452,°,Dendrite,0,1,1,100000013,510000000396,
7.04839,°,Dendrite,0,1,1,100000014,510000000423,
-141.625,°,Dendrite,0,1,1,100000015,510000000442,
-10.5206,°,Dendrite,0,1,1,100000016,510000000453,
-143.893,°,Dendrite,0,1,1,100000017,510000000483,
