
Dendrite Position Reference Frame
 ==================== 
Dendrite Position X Reference Frame,Dendrite Position Y Reference Frame,Dendrite Position Z Reference Frame,Unit,Category,Collection,Depth,Level,ReferenceFrame,Time,FilamentID,ID,
-45.0569,11.012,1.39668,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000000,510000000001,
-73.663,20.3597,2.42111,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000001,510000000073,
-37.1525,23.5865,1.11284,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000002,510000000109,
-13.1007,25.9062,3.99417,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000003,510000000121,
-41.3425,32.3908,0.698634,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000004,510000000150,
-41.068,34.2397,0.887409,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000005,510000000234,
-22.3207,31.0845,1.82608,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000006,510000000266,
3.5078,24.481,4.42083,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000007,510000000281,
4.18035,29.7902,6.09399,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000008,510000000293,
-52.1618,23.4012,3.34014,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000009,510000000307,
-73.5245,23.2461,5.54423,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000010,510000000324,
-88.6707,14.1466,5.29284,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000011,510000000368,
-84.5092,16.2698,5.75499,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000012,510000000380,
-92.352,16.862,5.91329,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000013,510000000396,
-92.7785,32.2328,5.48287,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000014,510000000423,
-92.4596,21.4478,5.66377,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000015,510000000442,
-11.0699,31.8041,1.23025,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000016,510000000453,
-16.7216,31.1487,1.01311,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000017,510000000483,
