
Dendrite Straightness
 ==================== 
Dendrite Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.852946,,Dendrite,0,1,1,100000000,510000000001,
0.808129,,Dendrite,0,1,1,100000001,510000000073,
0.979252,,Dendrite,0,1,1,100000002,510000000109,
0.861269,,Dendrite,0,1,1,100000003,510000000121,
0.791556,,Dendrite,0,1,1,100000004,510000000150,
0.980571,,Dendrite,0,1,1,100000005,510000000234,
0.924849,,Dendrite,0,1,1,100000006,510000000266,
0.930569,,Dendrite,0,1,1,100000007,510000000281,
0.962462,,Dendrite,0,1,1,100000008,510000000293,
0.919738,,Dendrite,0,1,1,100000009,510000000307,
0.960221,,Dendrite,0,1,1,100000010,510000000324,
0.965663,,Dendrite,0,1,1,100000011,510000000368,
0.992502,,Dendrite,0,1,1,100000012,510000000380,
0.89465,,Dendrite,0,1,1,100000013,510000000396,
0.937476,,Dendrite,0,1,1,100000014,510000000423,
0.992126,,Dendrite,0,1,1,100000015,510000000442,
0.811477,,Dendrite,0,1,1,100000016,510000000453,
0.890849,,Dendrite,0,1,1,100000017,510000000483,
