
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
3.71064,um,Dendrite,0,1,1,100000000,510000000001,
2.86624,um,Dendrite,0,1,1,100000001,510000000021,
2.18616,um,Dendrite,0,1,1,100000002,510000000039,
3.9352,um,Dendrite,1,1,1,100000003,510000000051,
1.94084,um,Dendrite,1,1,1,100000003,510000000075,
1.45986,um,Dendrite,1,1,1,100000003,510000000087,
11.7907,um,Dendrite,0,1,1,100000004,510000000097,
2.11855,um,Dendrite,0,1,1,100000005,510000000173,
6.92383,um,Dendrite,0,1,1,100000006,510000000187,
1.28321,um,Dendrite,0,1,1,100000007,510000000233,
2.3793,um,Dendrite,0,1,1,100000008,510000000241,
3.63281,um,Dendrite,0,1,1,100000009,510000000256,
2.60876,um,Dendrite,0,1,1,100000010,510000000281,
4.3999,um,Dendrite,0,1,1,100000011,510000000297,
4.64108,um,Dendrite,0,1,1,100000012,510000000326,
4.52787,um,Dendrite,0,1,1,100000013,510000000354,
10.9172,um,Dendrite,0,1,1,100000014,510000000382,
4.80483,um,Dendrite,0,1,1,100000015,510000000453,
4.16691,um,Dendrite,0,1,1,100000016,510000000483,
10.2633,um,Dendrite,0,1,1,100000017,510000000510,
10.5383,um,Dendrite,0,1,1,100000017,510000000573,
4.29446,um,Dendrite,0,1,1,100000018,510000000644,
3.41288,um,Dendrite,0,1,1,100000019,510000000672,
4.13979,um,Dendrite,0,1,1,100000020,510000000694,
4.11214,um,Dendrite,0,1,1,100000021,510000000717,
1.54692,um,Dendrite,0,1,1,100000022,510000000730,
2.25145,um,Dendrite,0,1,1,100000023,510000000737,
2.19165,um,Dendrite,0,1,1,100000024,510000000751,
6.72408,um,Dendrite,0,1,1,100000025,510000000764,
1.37054,um,Dendrite,0,1,1,100000026,510000000808,
3.18466,um,Dendrite,0,1,1,100000027,510000000816,
6.00028,um,Dendrite,0,1,1,100000028,510000000836,
4.23868,um,Dendrite,0,1,1,100000029,510000000874,
5.34545,um,Dendrite,0,1,1,100000030,510000000899,
3.78613,um,Dendrite,0,1,1,100000031,510000000934,
2.18103,um,Dendrite,0,1,1,100000032,510000000958,
2.84623,um,Dendrite,0,1,1,100000033,510000000971,
2.5424,um,Dendrite,0,1,1,100000034,510000000980,
10.2417,um,Dendrite,0,1,1,100000035,510000000988,
8.24112,um,Dendrite,0,1,1,100000036,510000001053,
6.81603,um,Dendrite,0,1,1,100000037,510000001108,
4.53755,um,Dendrite,0,1,1,100000038,510000001153,
3.83657,um,Dendrite,0,1,1,100000039,510000001182,
1.87445,um,Dendrite,0,1,1,100000040,510000001207,
2.77287,um,Dendrite,0,1,1,100000041,510000001219,
1.67452,um,Dendrite,0,1,1,100000042,510000001238,
