
Dendrite Straightness
 ==================== 
Dendrite Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.905829,,Dendrite,0,1,1,100000000,510000000001,
0.909796,,Dendrite,0,1,1,100000001,510000000021,
0.973892,,Dendrite,0,1,1,100000002,510000000039,
0.911468,,Dendrite,1,1,1,100000003,510000000051,
0.954207,,Dendrite,1,1,1,100000003,510000000075,
0.940324,,Dendrite,1,1,1,100000003,510000000087,
0.935654,,Dendrite,0,1,1,100000004,510000000097,
0.86699,,Dendrite,0,1,1,100000005,510000000173,
0.825528,,Dendrite,0,1,1,100000006,510000000187,
0.996259,,Dendrite,0,1,1,100000007,510000000233,
0.951232,,Dendrite,0,1,1,100000008,510000000241,
0.962009,,Dendrite,0,1,1,100000009,510000000256,
0.984592,,Dendrite,0,1,1,100000010,510000000281,
0.909283,,Dendrite,0,1,1,100000011,510000000297,
0.94012,,Dendrite,0,1,1,100000012,510000000326,
0.901043,,Dendrite,0,1,1,100000013,510000000354,
0.925619,,Dendrite,0,1,1,100000014,510000000382,
0.860734,,Dendrite,0,1,1,100000015,510000000453,
0.956033,,Dendrite,0,1,1,100000016,510000000483,
0.842537,,Dendrite,0,1,1,100000017,510000000510,
0.929074,,Dendrite,0,1,1,100000017,510000000573,
0.884952,,Dendrite,0,1,1,100000018,510000000644,
0.929527,,Dendrite,0,1,1,100000019,510000000672,
0.919761,,Dendrite,0,1,1,100000020,510000000694,
0.975375,,Dendrite,0,1,1,100000021,510000000717,
0.980621,,Dendrite,0,1,1,100000022,510000000730,
0.9774,,Dendrite,0,1,1,100000023,510000000737,
0.8379,,Dendrite,0,1,1,100000024,510000000751,
0.961977,,Dendrite,0,1,1,100000025,510000000764,
0.985471,,Dendrite,0,1,1,100000026,510000000808,
0.892798,,Dendrite,0,1,1,100000027,510000000816,
0.897865,,Dendrite,0,1,1,100000028,510000000836,
0.821428,,Dendrite,0,1,1,100000029,510000000874,
0.916629,,Dendrite,0,1,1,100000030,510000000899,
0.899185,,Dendrite,0,1,1,100000031,510000000934,
0.928439,,Dendrite,0,1,1,100000032,510000000958,
0.959095,,Dendrite,0,1,1,100000033,510000000971,
0.990942,,Dendrite,0,1,1,100000034,510000000980,
0.833065,,Dendrite,0,1,1,100000035,510000000988,
0.675471,,Dendrite,0,1,1,100000036,510000001053,
0.93507,,Dendrite,0,1,1,100000037,510000001108,
0.832319,,Dendrite,0,1,1,100000038,510000001153,
0.944059,,Dendrite,0,1,1,100000039,510000001182,
0.968478,,Dendrite,0,1,1,100000040,510000001207,
0.921932,,Dendrite,0,1,1,100000041,510000001219,
0.98414,,Dendrite,0,1,1,100000042,510000001238,
