
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
81.5592,°,Dendrite,0,1,1,100000000,510000000001,
79.0933,°,Dendrite,0,1,1,100000002,510000000012,
126.287,°,Dendrite,0,1,1,100000003,510000000034,
154.945,°,Dendrite,0,1,1,100000004,510000000153,
-100.303,°,Dendrite,0,1,1,100000005,510000000251,
-61.6523,°,Dendrite,0,1,1,100000006,510000000280,
-75.3465,°,Dendrite,0,1,1,100000007,510000000320,
-23.9893,°,Dendrite,0,1,1,100000008,510000000340,
12.861,°,Dendrite,0,1,1,100000009,510000000411,
173.336,°,Dendrite,0,1,1,100000010,510000000440,
63.7956,°,Dendrite,0,1,1,100000011,510000000467,
-98.6232,°,Dendrite,0,1,1,100000012,510000000500,
151.975,°,Dendrite,0,1,1,100000013,510000000559,
112.599,°,Dendrite,0,1,1,100000014,510000000613,
131.079,°,Dendrite,0,1,1,100000015,510000000647,
-157.567,°,Dendrite,0,1,1,100000016,510000000679,
167.164,°,Dendrite,0,1,1,100000017,510000000692,
-139.253,°,Dendrite,0,1,1,100000018,510000000711,
