
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
42.739,16.7123,2.60255,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
27.9041,15.5897,3.30296,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000012,
21.3226,17.7582,3.91249,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000034,
54.0857,21.6274,2.42537,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000153,
34.3949,9.56364,2.49743,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000251,
63.3337,10.706,10.1265,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000280,
28.3919,12.2126,3.00291,um,Dendrite,Dendrite Position,0,1,1,100000007,510000000320,
81.2323,13.2288,4.8392,um,Dendrite,Dendrite Position,0,1,1,100000008,510000000340,
81.1369,16.1359,11.4126,um,Dendrite,Dendrite Position,0,1,1,100000009,510000000411,
84.6347,15.4434,4.13254,um,Dendrite,Dendrite Position,0,1,1,100000010,510000000440,
59.0388,10.7097,4.61118,um,Dendrite,Dendrite Position,0,1,1,100000011,510000000467,
25.4076,9.20722,5.14071,um,Dendrite,Dendrite Position,0,1,1,100000012,510000000500,
15.5907,14.138,3.34029,um,Dendrite,Dendrite Position,0,1,1,100000013,510000000559,
11.5569,13.1838,2.83275,um,Dendrite,Dendrite Position,0,1,1,100000014,510000000613,
58.558,21.0828,2.34287,um,Dendrite,Dendrite Position,0,1,1,100000015,510000000647,
47.5365,13.5963,7.09819,um,Dendrite,Dendrite Position,0,1,1,100000016,510000000679,
9.2073,12.2129,6.15847,um,Dendrite,Dendrite Position,0,1,1,100000017,510000000692,
14.526,9.62769,2.05652,um,Dendrite,Dendrite Position,0,1,1,100000018,510000000711,
