
Dendrite Position Reference Frame
 ==================== 
Dendrite Position X Reference Frame,Dendrite Position Y Reference Frame,Dendrite Position Z Reference Frame,Unit,Category,Collection,Depth,Level,ReferenceFrame,Time,FilamentID,ID,
59.0201,9.71107,-0.817166,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000000,510000000001,
73.835,11.0742,-0.116755,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000002,510000000012,
80.4508,9.01273,0.49277,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000003,510000000034,
47.7545,4.61255,-0.994341,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000004,510000000153,
67.2472,16.9943,-0.922293,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000005,510000000251,
38.3304,15.3826,6.70683,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000006,510000000280,
73.2924,14.443,-0.416807,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000007,510000000320,
20.475,12.5698,1.41948,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000008,510000000340,
20.6175,9.66455,7.99286,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000009,510000000411,
17.1089,10.3002,0.712824,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000010,510000000440,
42.6249,15.4486,1.19147,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000011,510000000467,
76.2275,17.4964,1.72099,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000012,510000000500,
86.1233,12.7255,-0.0794297,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000013,510000000559,
90.141,13.745,-0.586968,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000014,510000000613,
43.2739,5.08451,-1.07684,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000015,510000000647,
54.1726,12.749,3.67847,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000016,510000000679,
92.4746,14.7539,2.73874,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000017,510000000692,
87.1146,17.2525,-1.36321,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000018,510000000711,
