
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
40274.6,48229.6,-2.78325,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
40291.6,48228,1.02913,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000060,
40294.7,48228.1,-5.74014,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000082,
40293.7,48232.1,1.60693,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000091,
40292.8,48236.5,0.914972,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000100,
40288.3,48205.9,1.47091,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000105,
40284.4,48199.3,3.62351,um,Dendrite,Dendrite Position,0,1,1,100000007,510000000119,
40299.1,48205.4,3.74407,um,Dendrite,Dendrite Position,0,1,1,100000008,510000000126,
40299.4,48201.3,3.48842,um,Dendrite,Dendrite Position,0,1,1,100000009,510000000143,
40293,48174.6,2.74823,um,Dendrite,Dendrite Position,0,1,1,100000010,510000000170,
40295.6,48168.1,2.08949,um,Dendrite,Dendrite Position,0,1,1,100000011,510000000175,
40304.9,48184.4,-0.160006,um,Dendrite,Dendrite Position,0,1,1,100000012,510000000209,
40339.7,48204.9,0.859738,um,Dendrite,Dendrite Position,0,1,1,100000013,510000000236,
40357.7,48219.3,-1.93053,um,Dendrite,Dendrite Position,0,1,1,100000014,510000000240,
40366.6,48226.8,-4.1707,um,Dendrite,Dendrite Position,0,1,1,100000015,510000000272,
40361.2,48204,-1.28713,um,Dendrite,Dendrite Position,0,1,1,100000016,510000000282,
40353,48208.1,0.0868992,um,Dendrite,Dendrite Position,0,1,1,100000017,510000000289,
40334.9,48166.4,4.88003,um,Dendrite,Dendrite Position,0,1,1,100000018,510000000294,
40314.4,48194.6,0.351524,um,Dendrite,Dendrite Position,0,1,1,100000019,510000000299,
40269.6,48179.4,-1.41633,um,Dendrite,Dendrite Position,0,1,1,100000020,510000000308,
40274.1,48213.9,-4.29834,um,Dendrite,Dendrite Position,0,1,1,100000021,510000000322,
40245.2,48203.9,2.12388,um,Dendrite,Dendrite Position,0,1,1,100000022,510000000329,
40243.1,48207.8,0.616136,um,Dendrite,Dendrite Position,0,1,1,100000023,510000000336,
40262.8,48274.9,-5.59038,um,Dendrite,Dendrite Position,0,1,1,100000024,510000000347,
40247.2,48299.2,-5.7851,um,Dendrite,Dendrite Position,0,1,1,100000025,510000000434,
40248.3,48294.7,-5.67279,um,Dendrite,Dendrite Position,0,1,1,100000026,510000000460,
40248.9,48305.8,-3.94229,um,Dendrite,Dendrite Position,0,1,1,100000027,510000000481,
40233,48313.2,-4.49517,um,Dendrite,Dendrite Position,0,1,1,100000028,510000000508,
40234.8,48311.3,-3.98109,um,Dendrite,Dendrite Position,0,1,1,100000029,510000000530,
40234.5,48328.8,-3.71355,um,Dendrite,Dendrite Position,0,1,1,100000030,510000000541,
40241.5,48321.2,-3.57198,um,Dendrite,Dendrite Position,0,1,1,100000031,510000000551,
40240.6,48327.8,-1.50244,um,Dendrite,Dendrite Position,0,1,1,100000032,510000000558,
40214.6,48263.4,-1.52078,um,Dendrite,Dendrite Position,0,1,1,100000033,510000000565,
40213,48260.4,-2.16977,um,Dendrite,Dendrite Position,0,1,1,100000034,510000000579,
40213.8,48270.1,-4.14652,um,Dendrite,Dendrite Position,0,1,1,100000035,510000000651,
40200.5,48261.1,-2.30793,um,Dendrite,Dendrite Position,0,1,1,100000036,510000000757,
40202.6,48252.7,-1.59012,um,Dendrite,Dendrite Position,0,1,1,100000037,510000000778,
40192.5,48203,-2.05173,um,Dendrite,Dendrite Position,0,1,1,100000038,510000000787,
40279.6,48267,-3.35641,um,Dendrite,Dendrite Position,0,1,1,100000039,510000000833,
40331.9,48297.8,-1.90443,um,Dendrite,Dendrite Position,0,1,1,100000040,510000000869,
40339.7,48291,-1.81496,um,Dendrite,Dendrite Position,0,1,1,100000041,510000000983,
40324.8,48291.4,3.4307,um,Dendrite,Dendrite Position,0,1,1,100000042,510000000996,
40351.6,48273.6,-0.47361,um,Dendrite,Dendrite Position,0,1,1,100000043,510000001013,
40358.6,48268,-0.675895,um,Dendrite,Dendrite Position,0,1,1,100000044,510000001027,
40363.5,48262.8,-0.479878,um,Dendrite,Dendrite Position,0,1,1,100000045,510000001048,
40352.9,48269.1,-0.878677,um,Dendrite,Dendrite Position,0,1,1,100000046,510000001072,
40287.7,48181.1,3.64319,um,Dendrite,Dendrite Position,0,1,1,100000047,510000001094,
40290.2,48175,3.15193,um,Dendrite,Dendrite Position,0,1,1,100000048,510000001102,
40294.6,48189.7,3.46355,um,Dendrite,Dendrite Position,0,1,1,100000049,510000001107,
40286.9,48172.3,1.10249,um,Dendrite,Dendrite Position,0,1,1,100000050,510000001114,
40291.6,48162.5,2.81673,um,Dendrite,Dendrite Position,0,1,1,100000051,510000001129,
40285.3,48157.1,-3.4349,um,Dendrite,Dendrite Position,0,1,1,100000052,510000001144,
40213.9,48201.7,3.98175,um,Dendrite,Dendrite Position,0,1,1,100000053,510000001165,
40215.9,48203.4,4.715,um,Dendrite,Dendrite Position,0,1,1,100000054,510000001182,
40240.3,48168.3,-2.03547,um,Dendrite,Dendrite Position,0,1,1,100000055,510000001192,
40291.1,48194.8,-5.03744,um,Dendrite,Dendrite Position,0,1,1,100000056,510000001222,
40288.2,48194.8,-4.4492,um,Dendrite,Dendrite Position,0,1,1,100000057,510000001251,
