
Dendrite Straightness
 ==================== 
Dendrite Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.926988,,Dendrite,0,1,1,100000000,510000000001,
0.92996,,Dendrite,1,1,1,100000001,510000000036,
0.915396,,Dendrite,1,2,1,100000001,510000000054,
0.917878,,Dendrite,0,1,1,100000002,510000000060,
0.970423,,Dendrite,0,1,1,100000003,510000000082,
0.865471,,Dendrite,0,1,1,100000004,510000000091,
0.954906,,Dendrite,0,1,1,100000005,510000000100,
0.872416,,Dendrite,0,1,1,100000006,510000000105,
0.974779,,Dendrite,0,1,1,100000007,510000000119,
0.92178,,Dendrite,0,1,1,100000008,510000000126,
0.824562,,Dendrite,0,1,1,100000009,510000000143,
0.978917,,Dendrite,0,1,1,100000010,510000000170,
0.817179,,Dendrite,0,1,1,100000011,510000000175,
0.847698,,Dendrite,0,1,1,100000012,510000000209,
0.995543,,Dendrite,0,1,1,100000013,510000000236,
0.898011,,Dendrite,0,1,1,100000014,510000000240,
0.987629,,Dendrite,0,1,1,100000015,510000000272,
0.987192,,Dendrite,0,1,1,100000016,510000000282,
0.994791,,Dendrite,0,1,1,100000017,510000000289,
0.964385,,Dendrite,0,1,1,100000018,510000000294,
0.981683,,Dendrite,0,1,1,100000019,510000000299,
0.985283,,Dendrite,0,1,1,100000020,510000000308,
0.967243,,Dendrite,0,1,1,100000021,510000000322,
0.978346,,Dendrite,0,1,1,100000022,510000000329,
0.978324,,Dendrite,0,1,1,100000023,510000000336,
0.91567,,Dendrite,0,1,1,100000024,510000000347,
0.894889,,Dendrite,0,1,1,100000025,510000000434,
0.624927,,Dendrite,0,1,1,100000026,510000000460,
0.968627,,Dendrite,0,1,1,100000027,510000000481,
0.969979,,Dendrite,0,1,1,100000028,510000000508,
0.993085,,Dendrite,0,1,1,100000029,510000000530,
0.937876,,Dendrite,0,1,1,100000030,510000000541,
0.945536,,Dendrite,0,1,1,100000031,510000000551,
0.99082,,Dendrite,0,1,1,100000032,510000000558,
0.961349,,Dendrite,0,1,1,100000033,510000000565,
0.868954,,Dendrite,0,1,1,100000034,510000000579,
0.458123,,Dendrite,0,1,1,100000035,510000000651,
0.923656,,Dendrite,0,1,1,100000036,510000000757,
0.992681,,Dendrite,0,1,1,100000037,510000000778,
0.766771,,Dendrite,0,1,1,100000038,510000000787,
0.904806,,Dendrite,0,1,1,100000039,510000000833,
0.933733,,Dendrite,0,1,1,100000040,510000000869,
0.980571,,Dendrite,0,1,1,100000041,510000000983,
0.928243,,Dendrite,0,1,1,100000042,510000000996,
0.962986,,Dendrite,0,1,1,100000043,510000001013,
0.933375,,Dendrite,0,1,1,100000044,510000001027,
0.908207,,Dendrite,0,1,1,100000045,510000001048,
0.923235,,Dendrite,0,1,1,100000046,510000001072,
0.960694,,Dendrite,0,1,1,100000047,510000001094,
0.994601,,Dendrite,0,1,1,100000048,510000001102,
0.992401,,Dendrite,0,1,1,100000049,510000001107,
0.850706,,Dendrite,0,1,1,100000050,510000001114,
0.946091,,Dendrite,0,1,1,100000051,510000001129,
0.981025,,Dendrite,0,1,1,100000052,510000001144,
0.944772,,Dendrite,0,1,1,100000053,510000001165,
0.986448,,Dendrite,0,1,1,100000054,510000001182,
0.934797,,Dendrite,0,1,1,100000055,510000001192,
0.884052,,Dendrite,0,1,1,100000056,510000001222,
0.946029,,Dendrite,0,1,1,100000057,510000001251,
0.988552,,Dendrite,0,1,1,100000058,510000001260,
0.979138,,Dendrite,0,1,1,100000060,510000001267,
0.953847,,Dendrite,1,1,1,100000061,510000001274,
0.971749,,Dendrite,1,2,1,100000061,510000001282,
0.996809,,Dendrite,0,1,1,100000062,510000001289,
0.979413,,Dendrite,0,1,1,100000063,510000001293,
1,,Dendrite,0,1,1,100000001,510000001299,
1,,Dendrite,0,1,1,100000061,510000001300,
