
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-154.375,°,Dendrite,0,1,1,100000000,510000000001,
172.156,°,Dendrite,0,1,1,100000001,510000000012,
155.219,°,Dendrite,0,1,1,100000002,510000000035,
-9.34898,°,Dendrite,0,1,1,100000003,510000000047,
29.3224,°,Dendrite,0,1,1,100000004,510000000056,
-23.7573,°,Dendrite,0,1,1,100000005,510000000063,
-9.28972,°,Dendrite,0,1,1,100000006,510000000073,
20.4099,°,Dendrite,0,1,1,100000007,510000000133,
-18.3605,°,Dendrite,0,1,1,100000008,510000000145,
175.85,°,Dendrite,0,1,1,100000009,510000000158,
-148.878,°,Dendrite,0,1,1,100000010,510000000165,
-109.759,°,Dendrite,0,1,1,100000011,510000000182,
89.2917,°,Dendrite,0,1,1,100000012,510000000194,
98.1235,°,Dendrite,0,1,1,100000013,510000000284,
-174.142,°,Dendrite,0,1,1,100000014,510000000328,
51.6597,°,Dendrite,0,1,1,100000015,510000000340,
32.431,°,Dendrite,0,1,1,100000016,510000000352,
-135.196,°,Dendrite,0,1,1,100000017,510000000357,
-130.626,°,Dendrite,0,1,1,100000018,510000000364,
-151.072,°,Dendrite,0,1,1,100000019,510000000386,
153.3,°,Dendrite,0,1,1,100000020,510000000403,
33.5609,°,Dendrite,0,1,1,100000021,510000000429,
-158.372,°,Dendrite,0,1,1,100000022,510000000440,
149.628,°,Dendrite,0,1,1,100000023,510000000450,
143.437,°,Dendrite,0,1,1,100000024,510000000458,
144.692,°,Dendrite,0,1,1,100000025,510000000462,
-29.2753,°,Dendrite,0,1,1,100000026,510000000473,
130.368,°,Dendrite,0,1,1,100000027,510000000476,
65.7127,°,Dendrite,0,1,1,100000028,510000000487,
123.982,°,Dendrite,0,1,1,100000029,510000000509,
122.98,°,Dendrite,0,1,1,100000030,510000000530,
70.4,°,Dendrite,0,1,1,100000031,510000000538,
-29.9541,°,Dendrite,0,1,1,100000032,510000000544,
-73.2693,°,Dendrite,0,1,1,100000033,510000000575,
15.2765,°,Dendrite,0,1,1,100000034,510000000591,
167.33,°,Dendrite,0,1,1,100000035,510000000599,
-152.325,°,Dendrite,0,1,1,100000036,510000000603,
142.88,°,Dendrite,0,1,1,100000037,510000000611,
82.0661,°,Dendrite,0,1,1,100000037,510000000618,
98.0632,°,Dendrite,1,1,1,100000037,510000000624,
146.575,°,Dendrite,1,2,1,100000037,510000000626,
-129.289,°,Dendrite,0,1,1,100000038,510000000632,
179.272,°,Dendrite,0,1,1,100000039,510000000636,
177.372,°,Dendrite,0,1,1,100000040,510000000641,
135.349,°,Dendrite,0,1,1,100000041,510000000646,
79.5142,°,Dendrite,0,1,1,100000042,510000000663,
84.8308,°,Dendrite,0,1,1,100000043,510000000676,
59.89,°,Dendrite,0,1,1,100000044,510000000683,
139.715,°,Dendrite,0,1,1,100000045,510000000706,
-23.2254,°,Dendrite,0,1,1,100000046,510000000720,
-49.41,°,Dendrite,0,1,1,100000046,510000000729,
22.8167,°,Dendrite,0,1,1,100000047,510000000739,
37.5394,°,Dendrite,0,1,1,100000048,510000000749,
117.956,°,Dendrite,0,1,1,100000049,510000000757,
-178.682,°,Dendrite,0,1,1,100000050,510000000782,
54.8922,°,Dendrite,0,1,1,100000051,510000000798,
-133.019,°,Dendrite,0,1,1,100000052,510000000807,
-158.57,°,Dendrite,0,1,1,100000053,510000000814,
80.0365,°,Dendrite,0,1,1,100000054,510000000828,
-154.623,°,Dendrite,0,1,1,100000055,510000000884,
34.3427,°,Dendrite,0,1,1,100000056,510000000918,
-136.089,°,Dendrite,0,1,1,100000057,510000000926,
43.6593,°,Dendrite,0,1,1,100000058,510000000932,
-20.9007,°,Dendrite,0,1,1,100000059,510000000945,
-51.1367,°,Dendrite,0,1,1,100000060,510000000961,
-3.04976,°,Dendrite,0,1,1,100000062,510000000974,
-110.682,°,Dendrite,0,1,1,100000063,510000001004,
-58.2934,°,Dendrite,0,1,1,100000064,510000001037,
-6.62488,°,Dendrite,0,1,1,100000065,510000001053,
