
Dendrite Position Reference Frame
 ==================== 
Dendrite Position X Reference Frame,Dendrite Position Y Reference Frame,Dendrite Position Z Reference Frame,Unit,Category,Collection,Depth,Level,ReferenceFrame,Time,FilamentID,ID,
24.6967,139.213,5.74966,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000000,510000000001,
25.8377,137.362,3.38153,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000001,510000000012,
41.6081,134.453,3.118,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000002,510000000035,
56.0982,140.587,5.15326,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000003,510000000047,
59.969,139.47,5.57271,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000004,510000000056,
66.0165,138.253,5.55327,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000005,510000000063,
72.9524,142.944,9.45131,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000006,510000000073,
80.1602,145.94,3.17378,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000007,510000000133,
79.8734,129.725,4.72246,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000008,510000000145,
74.3927,126.983,6.48267,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000009,510000000158,
60.2859,184.217,9.22554,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000010,510000000165,
39.4991,183.466,8.35221,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000011,510000000182,
-31.8779,81.8245,1.74339,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000012,510000000194,
-28.7293,84.8666,3.58402,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000013,510000000284,
2.20177,139.664,7.51244,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000014,510000000328,
-7.13689,126.687,0.474343,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000015,510000000340,
-12.3649,123.974,1.72518,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000016,510000000352,
3.86931,141.089,9.033,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000017,510000000357,
35.9047,106.013,7.02286,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000018,510000000364,
31.0182,105.803,6.35125,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000019,510000000386,
68.2533,85.2218,10.918,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000020,510000000403,
65.748,90.8092,10.8367,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000021,510000000429,
61.2257,88.2834,7.84438,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000022,510000000440,
50.8954,89.9924,7.07595,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000023,510000000450,
48.75,91.6091,7.20556,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000024,510000000458,
44.8064,90.8946,7.14087,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000025,510000000462,
48.6428,94.1657,8.80576,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000026,510000000473,
52.207,93.7251,10.2004,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000027,510000000476,
-26.1064,118.679,2.71489,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000028,510000000487,
-62.6758,53.8704,3.95998,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000029,510000000509,
-8.94699,61.4224,7.69287,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000030,510000000530,
-23.1775,67.677,3.07422,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000031,510000000538,
-13.7295,38.943,1.24781,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000032,510000000544,
-28.5945,33.1573,3.99021,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000033,510000000575,
-29.8735,23.5544,3.45457,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000034,510000000591,
-29.5046,20.3588,4.23041,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000035,510000000599,
-34.8036,19.3869,4.81406,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000036,510000000603,
-56.2374,13.7576,1.45907,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000037,510000000611,
-56.5113,14.5526,1.69495,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000037,510000000618,
-51.962,14.9204,1.34325,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000038,510000000632,
-61.7353,15.1574,1.16208,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000039,510000000636,
-65.2227,12.0148,0.447752,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000040,510000000641,
-56.5564,26.6421,3.44877,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000041,510000000646,
-59.6969,27.4929,2.41945,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000042,510000000663,
-60.8203,26.0628,2.56272,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000043,510000000676,
-30.5315,54.7483,1.22452,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000044,510000000683,
50.0331,49.0301,9.92249,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000045,510000000706,
5.51398,158.668,5.719,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000046,510000000720,
6.03524,158.29,6.02733,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000046,510000000729,
3.99885,158.113,3.92904,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000047,510000000739,
11.3824,156.424,8.67437,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000048,510000000749,
-34.0336,47.908,2.38783,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000049,510000000757,
-38.598,72.0676,5.3864,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000050,510000000782,
-59.4991,73.7865,6.35686,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000051,510000000798,
