
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
10.5775,um,Dendrite,0,1,1,100000000,510000000001,
4.94868,um,Dendrite,0,1,1,100000001,510000000045,
7.1266,um,Dendrite,0,1,1,100000002,510000000065,
4.12356,um,Dendrite,0,1,1,100000003,510000000094,
3.70875,um,Dendrite,0,1,1,100000004,510000000110,
2.55217,um,Dendrite,0,1,1,100000005,510000000125,
7.47724,um,Dendrite,0,1,1,100000006,510000000135,
4.9708,um,Dendrite,0,1,1,100000007,510000000165,
6.27875,um,Dendrite,0,1,1,100000008,510000000186,
2.04492,um,Dendrite,0,1,1,100000009,510000000212,
3.59007,um,Dendrite,0,1,1,100000010,510000000220,
