
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
105.682,161.945,12.5296,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
102.344,165.851,12.6453,um,Dendrite,Dendrite Position,0,1,1,100000001,510000000030,
99.8147,178.154,15.8526,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000049,
85.2262,180.028,12.9615,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000086,
90.022,184.83,13.6998,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000109,
90.6826,185.452,12.8333,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000120,
86.6918,175.087,13.5742,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000131,
94.1159,195.608,8.72102,um,Dendrite,Dendrite Position,0,1,1,100000007,510000000143,
96.2648,195.848,7.07275,um,Dendrite,Dendrite Position,0,1,1,100000008,510000000161,
98.8272,195.452,12.1605,um,Dendrite,Dendrite Position,0,1,1,100000009,510000000172,
99.1058,192.112,14.1572,um,Dendrite,Dendrite Position,0,1,1,100000010,510000000207,
102.904,182.714,14.8008,um,Dendrite,Dendrite Position,0,1,1,100000011,510000000217,
100.626,188.758,15.3119,um,Dendrite,Dendrite Position,0,1,1,100000012,510000000232,
107.363,155.146,12.4406,um,Dendrite,Dendrite Position,0,1,1,100000013,510000000256,
129.012,149.166,12.2074,um,Dendrite,Dendrite Position,0,1,1,100000014,510000000274,
129.367,181.321,6.71084,um,Dendrite,Dendrite Position,0,1,1,100000015,510000000285,
137.691,224.528,11.037,um,Dendrite,Dendrite Position,0,1,1,100000016,510000000304,
129.795,212.141,15.378,um,Dendrite,Dendrite Position,0,1,1,100000017,510000000372,
108.862,153.05,12.8651,um,Dendrite,Dendrite Position,0,1,1,100000018,510000000420,
112.065,136.449,14.3184,um,Dendrite,Dendrite Position,0,1,1,100000019,510000000437,
208.033,172.234,14.4922,um,Dendrite,Dendrite Position,0,1,1,100000020,510000000456,
189.752,192.502,11.2707,um,Dendrite,Dendrite Position,0,1,1,100000021,510000000503,
84.6112,64.4783,4.77622,um,Dendrite,Dendrite Position,0,1,1,100000022,510000000534,
79.901,19.8318,4.93997,um,Dendrite,Dendrite Position,0,1,1,100000023,510000000547,
126.035,33.5654,3.16265,um,Dendrite,Dendrite Position,0,1,1,100000024,510000000591,
125.608,53.7692,2.51805,um,Dendrite,Dendrite Position,0,1,1,100000025,510000000601,
