
Dendrite Position Reference Frame
 ==================== 
Dendrite Position X Reference Frame,Dendrite Position Y Reference Frame,Dendrite Position Z Reference Frame,Unit,Category,Collection,Depth,Level,ReferenceFrame,Time,FilamentID,ID,
43.2541,124.829,12.5296,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000000,510000000001,
48.3321,124.046,12.6454,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000001,510000000030,
58.2755,116.372,15.8527,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000002,510000000049,
70.5546,124.469,12.9616,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000003,510000000086,
70.0524,117.701,13.6999,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000004,510000000109,
69.9576,116.799,12.8334,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000005,510000000120,
66.2202,127.258,13.5743,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000006,510000000131,
73.9814,106.862,8.72109,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000007,510000000143,
72.5096,105.278,7.07283,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000008,510000000161,
70.3094,103.906,12.1606,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000009,510000000172,
67.9191,106.256,14.1573,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000010,510000000207,
58.9089,110.9,14.8009,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000011,510000000217,
64.5785,107.806,15.312,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000012,510000000232,
37.5446,128.885,12.4407,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000013,510000000256,
17.2357,119.293,12.2074,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000014,510000000274,
37.945,94.6918,6.71087,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000015,510000000285,
59.824,56.515,11.0371,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000016,510000000304,
57.7271,71.0542,15.378,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000017,510000000372,
35.0408,129.496,12.8651,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000018,510000000420,
21.7829,139.988,14.3184,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000019,510000000437,
-27.6038,50.2568,14.4922,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000020,510000000456,
-0.525797,46.8224,11.2707,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000021,510000000503,
-4.36404,212.444,4.77622,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000022,510000000534,
-29.9216,249.354,4.93995,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000023,510000000547,
-55.9263,208.847,3.16258,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000024,510000000591,
-42.4216,193.814,2.518,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000025,510000000601,
