
Dendrite Straightness
 ==================== 
Dendrite Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.729741,,Dendrite,0,1,1,100000000,510000000001,
0.981064,,Dendrite,0,1,1,100000001,510000000030,
0.906762,,Dendrite,0,1,1,100000002,510000000049,
0.962635,,Dendrite,0,1,1,100000003,510000000086,
0.987204,,Dendrite,0,1,1,100000004,510000000109,
0.919049,,Dendrite,0,1,1,100000005,510000000120,
0.955062,,Dendrite,0,1,1,100000006,510000000131,
0.956987,,Dendrite,0,1,1,100000007,510000000143,
0.933468,,Dendrite,0,1,1,100000008,510000000161,
0.942053,,Dendrite,0,1,1,100000009,510000000172,
0.950863,,Dendrite,0,1,1,100000010,510000000207,
0.966572,,Dendrite,0,1,1,100000011,510000000217,
0.938918,,Dendrite,0,1,1,100000012,510000000232,
0.932756,,Dendrite,0,1,1,100000013,510000000256,
0.979698,,Dendrite,0,1,1,100000014,510000000274,
0.889802,,Dendrite,0,1,1,100000015,510000000285,
0.92403,,Dendrite,0,1,1,100000016,510000000304,
0.955267,,Dendrite,0,1,1,100000017,510000000372,
0.952227,,Dendrite,0,1,1,100000018,510000000420,
0.976096,,Dendrite,0,1,1,100000019,510000000437,
0.915468,,Dendrite,0,1,1,100000020,510000000456,
0.952793,,Dendrite,0,1,1,100000021,510000000503,
0.943266,,Dendrite,0,1,1,100000022,510000000534,
0.880969,,Dendrite,0,1,1,100000023,510000000547,
0.98196,,Dendrite,0,1,1,100000024,510000000591,
0.98027,,Dendrite,0,1,1,100000025,510000000601,
