
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
5.10963,um,MeasurementPoint,A-B,1,
4.58183,um,MeasurementPoint,C-D,3,
9.53271,um,MeasurementPoint,E-F,5,
4.71654,um,MeasurementPoint,G-H,7,
8.65759,um,MeasurementPoint,I-J,9,
4.93894,um,MeasurementPoint,K-L,11,
5.64239,um,MeasurementPoint,M-N,13,
6.72828,um,MeasurementPoint,O-P,15,
6.4146,um,MeasurementPoint,Q-R,17,
7.88112,um,MeasurementPoint,S-T,19,
10.5758,um,MeasurementPoint,U-V,21,
7.89519,um,MeasurementPoint,W-X,23,
9.22227,um,MeasurementPoint,Y-Z,25,
5.51715,um,MeasurementPoint,A-B,27,
