
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
2.679,um,MeasurementPoint,A-B,1,
3.36638,um,MeasurementPoint,C-D,3,
4.6502,um,MeasurementPoint,E-F,5,
5.06064,um,MeasurementPoint,G-H,7,
5.91992,um,MeasurementPoint,I-J,9,
5.78945,um,MeasurementPoint,K-L,11,
4.9739,um,MeasurementPoint,M-N,13,
2.07054,um,MeasurementPoint,O-P,15,
4.02623,um,MeasurementPoint,Q-R,17,
4.63104,um,MeasurementPoint,S-T,19,
5.20422,um,MeasurementPoint,U-V,21,
3.77977,um,MeasurementPoint,W-X,23,
3.41028,um,MeasurementPoint,Y-Z,25,
