
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
7.11759,um,MeasurementPoint,A-B,1,
7.66604,um,MeasurementPoint,C-D,3,
7.55769,um,MeasurementPoint,E-F,5,
8.72137,um,MeasurementPoint,G-H,7,
7.78063,um,MeasurementPoint,I-J,9,
7.56074,um,MeasurementPoint,K-L,11,
9.09315,um,MeasurementPoint,M-N,13,
8.06931,um,MeasurementPoint,O-P,15,
8.81668,um,MeasurementPoint,Q-R,17,
7.48756,um,MeasurementPoint,S-T,19,
7.14813,um,MeasurementPoint,U-V,21,
7.51715,um,MeasurementPoint,W-X,23,
7.238,um,MeasurementPoint,Y-Z,25,
7.56527,um,MeasurementPoint,A-B,27,
6.87112,um,MeasurementPoint,C-D,29,
6.84545,um,MeasurementPoint,E-F,31,
6.99095,um,MeasurementPoint,G-H,33,
6.28364,um,MeasurementPoint,I-J,35,
7.38589,um,MeasurementPoint,K-L,37,
8.70389,um,MeasurementPoint,M-N,39,
6.61499,um,MeasurementPoint,O-P,41,
6.4736,um,MeasurementPoint,Q-R,43,
8.47011,um,MeasurementPoint,S-T,45,
4.85884,um,MeasurementPoint,U-V,47,
7.65036,um,MeasurementPoint,W-X,49,
7.33105,um,MeasurementPoint,Y-Z,51,
