
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
7.2081,um,MeasurementPoint,A-B,1,
6.40291,um,MeasurementPoint,C-D,3,
6.61441,um,MeasurementPoint,E-F,5,
9.9265,um,MeasurementPoint,G-H,7,
8.54916,um,MeasurementPoint,I-J,9,
8.50833,um,MeasurementPoint,K-L,11,
7.75557,um,MeasurementPoint,M-N,13,
7.73752,um,MeasurementPoint,O-P,15,
7.5601,um,MeasurementPoint,Q-R,17,
6.68865,um,MeasurementPoint,S-T,19,
7.23325,um,MeasurementPoint,U-V,21,
5.5611,um,MeasurementPoint,W-X,23,
7.4595,um,MeasurementPoint,Y-Z,25,
8.59686,um,MeasurementPoint,A-B,27,
8.52487,um,MeasurementPoint,C-D,29,
