
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
1.16391,um,MeasurementPoint,A-B,1,
0.816325,um,MeasurementPoint,C-D,3,
1.05528,um,MeasurementPoint,E-F,5,
0.705368,um,MeasurementPoint,G-H,7,
1.37656,um,MeasurementPoint,I-J,9,
1.35783,um,MeasurementPoint,K-L,11,
0.706373,um,MeasurementPoint,M-N,13,
1.31529,um,MeasurementPoint,O-P,15,
2.00091,um,MeasurementPoint,Q-R,17,
1.99037,um,MeasurementPoint,S-T,19,
1.94243,um,MeasurementPoint,U-V,21,
0.675063,um,MeasurementPoint,W-X,23,
2.56982,um,MeasurementPoint,Y-Z,25,
1.99439,um,MeasurementPoint,A-B,27,
1.33127,um,MeasurementPoint,C-D,29,
1.3126,um,MeasurementPoint,E-F,31,
1.49499,um,MeasurementPoint,G-H,33,
1.43243,um,MeasurementPoint,I-J,35,
1.49733,um,MeasurementPoint,K-L,37,
0.88065,um,MeasurementPoint,M-N,39,
1.34388,um,MeasurementPoint,O-P,41,
1.22697,um,MeasurementPoint,Q-R,43,
0.517763,um,MeasurementPoint,S-T,45,
1.04524,um,MeasurementPoint,W-X,47,
0.72663,um,MeasurementPoint,W-X,49,
0.737707,um,MeasurementPoint,Y-Z,51,
0.725324,um,MeasurementPoint,A-B,53,
0.795809,um,MeasurementPoint,C-D,55,
1.26192,um,MeasurementPoint,E-F,57,
1.33471,um,MeasurementPoint,G-H,59,
1.06139,um,MeasurementPoint,I-J,61,
1.16186,um,MeasurementPoint,K-L,63,
1.05192,um,MeasurementPoint,M-N,65,
2.12529,um,MeasurementPoint,O-P,67,
2.28056,um,MeasurementPoint,Q-R,69,
1.28796,um,MeasurementPoint,S-T,71,
1.08899,um,MeasurementPoint,U-V,73,
1.06873,um,MeasurementPoint,W-X,75,
0.566922,um,MeasurementPoint,Y-Z,77,
0.539268,um,MeasurementPoint,A-B,79,
0.947023,um,MeasurementPoint,C-D,81,
1.07563,um,MeasurementPoint,E-F,83,
0.853137,um,MeasurementPoint,G-H,85,
1.15744,um,MeasurementPoint,I-J,87,
0.760028,um,MeasurementPoint,K-L,89,
0.832691,um,MeasurementPoint,M-N,91,
2.80628,um,MeasurementPoint,O-P,93,
1.90908,um,MeasurementPoint,Q-R,95,
1.78753,um,MeasurementPoint,S-T,97,
1.61149,um,MeasurementPoint,U-V,99,
1.78395,um,MeasurementPoint,W-X,101,
1.99145,um,MeasurementPoint,Y-Z,103,
1.27561,um,MeasurementPoint,A-B,105,
1.19307,um,MeasurementPoint,C-D,107,
1.15681,um,MeasurementPoint,E-F,109,
9.45118,um,MeasurementPoint,G-H,111,
1.89064,um,MeasurementPoint,I-J,113,
1.86934,um,MeasurementPoint,K-L,115,
1.95617,um,MeasurementPoint,M-N,117,
1.68049,um,MeasurementPoint,O-P,119,
1.05881,um,MeasurementPoint,Q-R,121,
1.58868,um,MeasurementPoint,S-T,123,
2.36366,um,MeasurementPoint,U-V,125,
2.28001,um,MeasurementPoint,W-X,127,
2.47236,um,MeasurementPoint,Y-Z,129,
1.41144,um,MeasurementPoint,A-B,131,
2.33727,um,MeasurementPoint,C-D,133,
1.67452,um,MeasurementPoint,E-F,135,
2.29231,um,MeasurementPoint,G-H,137,
1.17852,um,MeasurementPoint,I-J,139,
1.16469,um,MeasurementPoint,K-L,141,
1.34859,um,MeasurementPoint,M-N,143,
2.01534,um,MeasurementPoint,O-P,145,
2.05299,um,MeasurementPoint,Q-R,147,
2.18153,um,MeasurementPoint,S-T,149,
2.48584,um,MeasurementPoint,U-V,151,
2.19878,um,MeasurementPoint,W-X,153,
1.56965,um,MeasurementPoint,Y-Z,155,
2.19097,um,MeasurementPoint,A-B,157,
1.96043,um,MeasurementPoint,C-D,159,
5.21669,um,MeasurementPoint,E-F,161,
1.74754,um,MeasurementPoint,G-H,163,
