
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
161.744,°,Dendrite,0,1,1,100000000,510000000001,
-41.8415,°,Dendrite,0,1,1,100000001,510000000076,
-149.605,°,Dendrite,0,1,1,100000002,510000000086,
-139.709,°,Dendrite,0,1,1,100000003,510000000111,
-117.939,°,Dendrite,0,1,1,100000004,510000000124,
-54.4763,°,Dendrite,0,1,1,100000005,510000000132,
143.396,°,Dendrite,0,1,1,100000006,510000000141,
178.747,°,Dendrite,0,1,1,100000006,510000000159,
-15.2924,°,Dendrite,0,1,1,100000007,510000000168,
99.9516,°,Dendrite,0,1,1,100000008,510000000206,
64.3966,°,Dendrite,0,1,1,100000009,510000000223,
108.126,°,Dendrite,0,1,1,100000010,510000000237,
-18.1184,°,Dendrite,0,1,1,100000011,510000000255,
-61.7187,°,Dendrite,0,1,1,100000012,510000000274,
74.6818,°,Dendrite,0,1,1,100000014,510000000285,
179.51,°,Dendrite,0,1,1,100000015,510000000313,
179.19,°,Dendrite,0,1,1,100000016,510000000359,
-174.458,°,Dendrite,0,1,1,100000017,510000000376,
177.656,°,Dendrite,0,1,1,100000018,510000000396,
125.053,°,Dendrite,0,1,1,100000019,510000000495,
10.964,°,Dendrite,0,1,1,100000020,510000000514,
168.634,°,Dendrite,0,1,1,100000021,510000000558,
77.7047,°,Dendrite,0,1,1,100000022,510000000577,
13.0141,°,Dendrite,0,1,1,100000023,510000000585,
94.5739,°,Dendrite,0,1,1,100000024,510000000605,
-56.6434,°,Dendrite,0,1,1,100000025,510000000613,
-139.114,°,Dendrite,0,1,1,100000026,510000000625,
-6.86583,°,Dendrite,0,1,1,100000027,510000000639,
-43.6085,°,Dendrite,0,1,1,100000028,510000000647,
-113.079,°,Dendrite,0,1,1,100000029,510000000665,
90,°,Dendrite,0,1,1,100000030,510000000675,
3.4089,°,Dendrite,0,1,1,100000031,510000000683,
-154.943,°,Dendrite,0,1,1,100000032,510000000712,
99.7094,°,Dendrite,0,1,1,100000033,510000000724,
-56.3982,°,Dendrite,0,1,1,100000034,510000000733,
174.991,°,Dendrite,0,1,1,100000035,510000000752,
151.098,°,Dendrite,0,1,1,100000036,510000000772,
-67.2722,°,Dendrite,0,1,1,100000037,510000000794,
172.462,°,Dendrite,0,1,1,100000038,510000000809,
177.727,°,Dendrite,0,1,1,100000039,510000000831,
130.62,°,Dendrite,0,1,1,100000040,510000000843,
73.9307,°,Dendrite,0,1,1,100000041,510000000860,
110.574,°,Dendrite,0,1,1,100000042,510000000879,
122.134,°,Dendrite,0,1,1,100000043,510000000893,
106.791,°,Dendrite,0,1,1,100000044,510000000901,
-3.80705,°,Dendrite,0,1,1,100000045,510000000945,
47.4222,°,Dendrite,0,1,1,100000046,510000000964,
-148.9,°,Dendrite,0,1,1,100000047,510000000973,
-121.837,°,Dendrite,0,1,1,100000049,510000000984,
31.7129,°,Dendrite,0,1,1,100000050,510000000991,
-147.072,°,Dendrite,0,1,1,100000051,510000001009,
88.3448,°,Dendrite,0,1,1,100000052,510000001021,
36.2391,°,Dendrite,0,1,1,100000053,510000001037,
127.98,°,Dendrite,0,1,1,100000054,510000001045,
-49.7706,°,Dendrite,0,1,1,100000055,510000001057,
-107.774,°,Dendrite,0,1,1,100000056,510000001066,
48.2675,°,Dendrite,0,1,1,100000057,510000001075,
-18.7056,°,Dendrite,0,1,1,100000058,510000001088,
-69.949,°,Dendrite,0,1,1,100000059,510000001106,
-39.6678,°,Dendrite,0,1,1,100000060,510000001114,
-16.8843,°,Dendrite,0,1,1,100000061,510000001122,
