
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
40783.3,51339.1,10.485,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
40783.5,51312.5,6.63876,um,Dendrite,Dendrite Position,0,1,1,100000001,510000000076,
40775.3,51309.3,9.74817,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000086,
40846.7,51295.1,9.61088,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000111,
40844.8,51295.2,10.0054,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000124,
40837.3,51292.9,9.0819,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000132,
40848.6,51299.6,9.8692,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000141,
40849.1,51298.4,10.0268,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000159,
40865,51294.3,10.1142,um,Dendrite,Dendrite Position,0,1,1,100000007,510000000168,
40867.7,51319,7.36769,um,Dendrite,Dendrite Position,0,1,1,100000008,510000000206,
40863.4,51318.2,7.90376,um,Dendrite,Dendrite Position,0,1,1,100000009,510000000223,
40844.8,51324.9,10.1051,um,Dendrite,Dendrite Position,0,1,1,100000010,510000000237,
40910.9,51342.3,11.0506,um,Dendrite,Dendrite Position,0,1,1,100000011,510000000255,
40912.4,51343.3,10.4957,um,Dendrite,Dendrite Position,0,1,1,100000012,510000000274,
40840.3,51354.6,6.9569,um,Dendrite,Dendrite Position,0,1,1,100000014,510000000285,
40818.7,51305.9,6.56352,um,Dendrite,Dendrite Position,0,1,1,100000015,510000000313,
40823.9,51303.2,7.79588,um,Dendrite,Dendrite Position,0,1,1,100000016,510000000359,
40823.6,51304.2,6.38003,um,Dendrite,Dendrite Position,0,1,1,100000017,510000000376,
40759.1,51314.7,11.3181,um,Dendrite,Dendrite Position,0,1,1,100000018,510000000396,
40787.6,51315.5,10.692,um,Dendrite,Dendrite Position,0,1,1,100000019,510000000495,
40786.9,51317.7,10.9596,um,Dendrite,Dendrite Position,0,1,1,100000020,510000000514,
40822.3,51310.9,8.56725,um,Dendrite,Dendrite Position,0,1,1,100000021,510000000558,
40828.6,51311,8.399,um,Dendrite,Dendrite Position,0,1,1,100000022,510000000577,
40876.3,51319.4,5.54664,um,Dendrite,Dendrite Position,0,1,1,100000023,510000000585,
40851.4,51334.9,5.23996,um,Dendrite,Dendrite Position,0,1,1,100000024,510000000605,
40867.2,51342,7.36629,um,Dendrite,Dendrite Position,0,1,1,100000025,510000000613,
40882.2,51344,6.81424,um,Dendrite,Dendrite Position,0,1,1,100000026,510000000625,
40884.8,51344.5,7.11223,um,Dendrite,Dendrite Position,0,1,1,100000027,510000000639,
40871.8,51346,6.98797,um,Dendrite,Dendrite Position,0,1,1,100000028,510000000647,
40872.1,51347.3,8.88863,um,Dendrite,Dendrite Position,0,1,1,100000029,510000000665,
40855,51279.3,5.39383,um,Dendrite,Dendrite Position,0,1,1,100000030,510000000675,
40850.4,51271.2,8.51359,um,Dendrite,Dendrite Position,0,1,1,100000031,510000000683,
40860.8,51272.7,9.20926,um,Dendrite,Dendrite Position,0,1,1,100000032,510000000712,
40831.5,51279.4,6.24345,um,Dendrite,Dendrite Position,0,1,1,100000033,510000000724,
40839.4,51280,9.68793,um,Dendrite,Dendrite Position,0,1,1,100000034,510000000733,
40856.1,51252.9,8.68233,um,Dendrite,Dendrite Position,0,1,1,100000035,510000000752,
40854,51250.2,9.73887,um,Dendrite,Dendrite Position,0,1,1,100000036,510000000772,
40853.4,51244.5,11.0136,um,Dendrite,Dendrite Position,0,1,1,100000037,510000000794,
40860,51253.5,7.85547,um,Dendrite,Dendrite Position,0,1,1,100000038,510000000809,
