
Dendrite Position Reference Frame
 ==================== 
Dendrite Position X Reference Frame,Dendrite Position Y Reference Frame,Dendrite Position Z Reference Frame,Unit,Category,Collection,Depth,Level,ReferenceFrame,Time,FilamentID,ID,
42.362,53.6434,7.14203,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000000,510000000001,
43.8224,80.1828,3.29655,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000001,510000000076,
52.2651,82.8726,6.40583,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000002,510000000086,
-18.1096,101.557,6.27083,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000003,510000000111,
-16.2539,101.317,6.66529,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000004,510000000124,
-8.6209,103.159,5.74167,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000005,510000000132,
-20.3006,97.1606,6.52907,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000006,510000000141,
-20.7372,98.4137,6.6867,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000006,510000000159,
-36.3405,103.544,6.77464,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000007,510000000168,
-40.5884,79.0811,4.02754,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000008,510000000206,
-36.2261,79.601,4.56352,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000009,510000000223,
-18.1196,71.743,6.76414,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000010,510000000237,
-85.2017,58.5745,7.71091,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000011,510000000255,
-86.7347,57.6156,7.15606,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000012,510000000274,
-15.5524,41.7721,3.61503,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000014,510000000285,
9.11662,88.9757,3.22242,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000015,510000000313,
4.12607,91.9796,4.455,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000016,510000000359,
4.35085,91.0259,3.03911,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000017,510000000376,
67.998,76.462,7.97522,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000018,510000000396,
39.5613,77.4487,7.34982,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000019,510000000495,
40.1231,75.213,7.61733,um,Dendrite,Dendrite Position Reference Frame,0,1,Reference Frame 1,1,100000020,510000000514,
