
Dendrite Straightness
 ==================== 
Dendrite Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.816392,,Dendrite,0,1,1,100000000,510000000001,
0.937986,,Dendrite,0,1,1,100000001,510000000076,
0.884182,,Dendrite,0,1,1,100000002,510000000086,
0.917135,,Dendrite,0,1,1,100000003,510000000111,
0.974875,,Dendrite,0,1,1,100000004,510000000124,
0.897583,,Dendrite,0,1,1,100000005,510000000132,
0.89317,,Dendrite,0,1,1,100000006,510000000141,
0.981201,,Dendrite,0,1,1,100000006,510000000159,
0.918557,,Dendrite,0,1,1,100000007,510000000168,
0.966219,,Dendrite,0,1,1,100000008,510000000206,
0.983366,,Dendrite,0,1,1,100000009,510000000223,
0.946114,,Dendrite,0,1,1,100000010,510000000237,
0.959094,,Dendrite,0,1,1,100000011,510000000255,
0.976618,,Dendrite,0,1,1,100000012,510000000274,
0.820808,,Dendrite,0,1,1,100000014,510000000285,
0.916522,,Dendrite,0,1,1,100000015,510000000313,
0.93079,,Dendrite,0,1,1,100000016,510000000359,
0.862736,,Dendrite,0,1,1,100000017,510000000376,
0.900189,,Dendrite,0,1,1,100000018,510000000396,
0.971682,,Dendrite,0,1,1,100000019,510000000495,
0.787499,,Dendrite,0,1,1,100000020,510000000514,
0.921336,,Dendrite,0,1,1,100000021,510000000558,
0.979824,,Dendrite,0,1,1,100000022,510000000577,
0.908499,,Dendrite,0,1,1,100000023,510000000585,
0.87098,,Dendrite,0,1,1,100000024,510000000605,
0.979301,,Dendrite,0,1,1,100000025,510000000613,
0.841094,,Dendrite,0,1,1,100000026,510000000625,
0.973103,,Dendrite,0,1,1,100000027,510000000639,
0.932163,,Dendrite,0,1,1,100000028,510000000647,
0.957299,,Dendrite,0,1,1,100000029,510000000665,
0.972842,,Dendrite,0,1,1,100000030,510000000675,
0.952578,,Dendrite,0,1,1,100000031,510000000683,
0.944974,,Dendrite,0,1,1,100000032,510000000712,
0.941351,,Dendrite,0,1,1,100000033,510000000724,
0.93523,,Dendrite,0,1,1,100000034,510000000733,
0.949818,,Dendrite,0,1,1,100000035,510000000752,
0.951227,,Dendrite,0,1,1,100000036,510000000772,
0.870708,,Dendrite,0,1,1,100000037,510000000794,
0.940967,,Dendrite,0,1,1,100000038,510000000809,
0.94839,,Dendrite,0,1,1,100000039,510000000831,
0.962887,,Dendrite,0,1,1,100000040,510000000843,
0.897288,,Dendrite,0,1,1,100000041,510000000860,
0.936632,,Dendrite,0,1,1,100000042,510000000879,
0.994121,,Dendrite,0,1,1,100000043,510000000893,
0.642712,,Dendrite,0,1,1,100000044,510000000901,
0.937335,,Dendrite,0,1,1,100000045,510000000945,
0.963412,,Dendrite,0,1,1,100000046,510000000964,
0.968909,,Dendrite,0,1,1,100000047,510000000973,
0.881177,,Dendrite,0,1,1,100000049,510000000984,
0.923702,,Dendrite,0,1,1,100000050,510000000991,
0.956049,,Dendrite,0,1,1,100000051,510000001009,
0.982539,,Dendrite,0,1,1,100000052,510000001021,
0.930985,,Dendrite,0,1,1,100000053,510000001037,
0.977512,,Dendrite,0,1,1,100000054,510000001045,
0.980438,,Dendrite,0,1,1,100000055,510000001057,
0.960892,,Dendrite,0,1,1,100000056,510000001066,
0.976954,,Dendrite,0,1,1,100000057,510000001075,
0.912613,,Dendrite,0,1,1,100000058,510000001088,
0.968479,,Dendrite,0,1,1,100000059,510000001106,
0.983775,,Dendrite,0,1,1,100000060,510000001114,
0.982906,,Dendrite,0,1,1,100000061,510000001122,
