
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
21.5183,um,Dendrite,0,1,1,100000000,510000000001,
11.5502,um,Dendrite,0,1,1,100000001,510000000091,
9.07895,um,Dendrite,0,1,1,100000002,510000000116,
5.19292,um,Dendrite,0,1,1,100000003,510000000152,
5.98285,um,Dendrite,0,1,1,100000004,510000000173,
2.64179,um,Dendrite,0,1,1,100000005,510000000197,
2.42481,um,Dendrite,0,1,1,100000006,510000000208,
2.3957,um,Dendrite,0,1,1,100000007,510000000218,
1.62401,um,Dendrite,0,1,1,100000008,510000000228,
5.58509,um,Dendrite,1,1,1,100000009,510000000235,
3.73177,um,Dendrite,1,2,1,100000009,510000000258,
2.39661,um,Dendrite,1,2,1,100000009,510000000272,
12.477,um,Dendrite,0,1,1,100000010,510000000282,
3.17955,um,Dendrite,0,1,1,100000011,510000000332,
5.72095,um,Dendrite,0,1,1,100000012,510000000345,
2.16714,um,Dendrite,0,1,1,100000013,510000000369,
2.30238,um,Dendrite,0,1,1,100000014,510000000378,
11.8926,um,Dendrite,0,1,1,100000015,510000000387,
12.8629,um,Dendrite,0,1,1,100000016,510000000437,
0.30378,um,Dendrite,0,1,1,100000009,510000000490,
