
Dendrite Straightness
 ==================== 
Dendrite Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.946567,,Dendrite,0,1,1,100000000,510000000001,
0.935923,,Dendrite,0,1,1,100000001,510000000091,
0.830141,,Dendrite,0,1,1,100000002,510000000116,
0.902704,,Dendrite,0,1,1,100000003,510000000152,
0.973273,,Dendrite,0,1,1,100000004,510000000173,
0.977426,,Dendrite,0,1,1,100000005,510000000197,
0.919672,,Dendrite,0,1,1,100000006,510000000208,
0.878359,,Dendrite,0,1,1,100000007,510000000218,
0.992548,,Dendrite,0,1,1,100000008,510000000228,
0.953569,,Dendrite,1,1,1,100000009,510000000235,
0.959784,,Dendrite,1,2,1,100000009,510000000258,
0.941451,,Dendrite,1,2,1,100000009,510000000272,
0.883634,,Dendrite,0,1,1,100000010,510000000282,
0.847531,,Dendrite,0,1,1,100000011,510000000332,
0.928453,,Dendrite,0,1,1,100000012,510000000345,
0.963387,,Dendrite,0,1,1,100000013,510000000369,
0.967849,,Dendrite,0,1,1,100000014,510000000378,
0.832274,,Dendrite,0,1,1,100000015,510000000387,
0.969661,,Dendrite,0,1,1,100000016,510000000437,
1,,Dendrite,0,1,1,100000009,510000000490,
