
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
17.2797,um,Dendrite,0,1,1,100000000,510000000001,
8.62423,um,Dendrite,0,1,1,100000001,510000000073,
2.94534,um,Dendrite,0,1,1,100000002,510000000109,
6.94879,um,Dendrite,0,1,1,100000003,510000000121,
10.4153,um,Dendrite,0,1,1,100000004,510000000150,
3.87516,um,Dendrite,0,1,1,100000005,510000000234,
1.79937,um,Dendrite,0,1,1,100000006,510000000266,
1.89229,um,Dendrite,0,1,1,100000007,510000000281,
1.71553,um,Dendrite,0,1,1,100000008,510000000293,
2.21202,um,Dendrite,0,1,1,100000009,510000000307,
5.57974,um,Dendrite,0,1,1,100000010,510000000324,
1.55447,um,Dendrite,0,1,1,100000011,510000000368,
1.96855,um,Dendrite,0,1,1,100000012,510000000380,
3.37309,um,Dendrite,0,1,1,100000013,510000000396,
2.46361,um,Dendrite,0,1,1,100000014,510000000423,
1.66035,um,Dendrite,0,1,1,100000015,510000000442,
3.99414,um,Dendrite,0,1,1,100000016,510000000453,
1.83835,um,Dendrite,0,1,1,100000017,510000000483,
