
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
65.9911,11.012,1.39668,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
37.385,20.3598,2.42111,um,Dendrite,Dendrite Position,0,1,1,100000001,510000000073,
73.8955,23.5865,1.11284,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000109,
97.9474,25.9062,3.99417,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000121,
69.7056,32.3908,0.698634,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000150,
69.98,34.2397,0.887409,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000234,
88.7273,31.0845,1.82608,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000266,
114.556,24.481,4.42083,um,Dendrite,Dendrite Position,0,1,1,100000007,510000000281,
115.228,29.7902,6.09399,um,Dendrite,Dendrite Position,0,1,1,100000008,510000000293,
58.8862,23.4012,3.34014,um,Dendrite,Dendrite Position,0,1,1,100000009,510000000307,
37.5235,23.2461,5.54423,um,Dendrite,Dendrite Position,0,1,1,100000010,510000000324,
22.3774,14.1466,5.29284,um,Dendrite,Dendrite Position,0,1,1,100000011,510000000368,
26.5388,16.2698,5.75499,um,Dendrite,Dendrite Position,0,1,1,100000012,510000000380,
18.696,16.862,5.91329,um,Dendrite,Dendrite Position,0,1,1,100000013,510000000396,
18.2695,32.2328,5.48287,um,Dendrite,Dendrite Position,0,1,1,100000014,510000000423,
18.5884,21.4478,5.66377,um,Dendrite,Dendrite Position,0,1,1,100000015,510000000442,
99.9781,31.8041,1.23025,um,Dendrite,Dendrite Position,0,1,1,100000016,510000000453,
94.3265,31.1487,1.01311,um,Dendrite,Dendrite Position,0,1,1,100000017,510000000483,
