
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
2.59596,um,Dendrite,0,1,1,100000000,510000000001,
5.56767,um,Dendrite,0,1,1,100000001,510000000012,
2.93765,um,Dendrite,0,1,1,100000002,510000000035,
2.57516,um,Dendrite,0,1,1,100000003,510000000047,
2.19659,um,Dendrite,0,1,1,100000004,510000000056,
2.59365,um,Dendrite,0,1,1,100000005,510000000063,
14.5147,um,Dendrite,0,1,1,100000006,510000000073,
2.9577,um,Dendrite,0,1,1,100000007,510000000133,
3.37658,um,Dendrite,0,1,1,100000008,510000000145,
1.79683,um,Dendrite,0,1,1,100000009,510000000158,
4.36987,um,Dendrite,0,1,1,100000010,510000000165,
2.91678,um,Dendrite,0,1,1,100000011,510000000182,
21.584,um,Dendrite,0,1,1,100000012,510000000194,
10.4159,um,Dendrite,0,1,1,100000013,510000000284,
2.97916,um,Dendrite,0,1,1,100000014,510000000328,
3.05961,um,Dendrite,0,1,1,100000015,510000000340,
1.32201,um,Dendrite,0,1,1,100000016,510000000352,
1.73684,um,Dendrite,0,1,1,100000017,510000000357,
5.26556,um,Dendrite,0,1,1,100000018,510000000364,
3.97765,um,Dendrite,0,1,1,100000019,510000000386,
6.34467,um,Dendrite,0,1,1,100000020,510000000403,
2.60337,um,Dendrite,0,1,1,100000021,510000000429,
2.3354,um,Dendrite,0,1,1,100000022,510000000440,
2.02826,um,Dendrite,0,1,1,100000023,510000000450,
1.21486,um,Dendrite,0,1,1,100000024,510000000458,
2.6014,um,Dendrite,0,1,1,100000025,510000000462,
0.887594,um,Dendrite,0,1,1,100000026,510000000473,
2.66614,um,Dendrite,0,1,1,100000027,510000000476,
5.43666,um,Dendrite,0,1,1,100000028,510000000487,
5.08962,um,Dendrite,0,1,1,100000029,510000000509,
2.02047,um,Dendrite,0,1,1,100000030,510000000530,
1.45073,um,Dendrite,0,1,1,100000031,510000000538,
7.58433,um,Dendrite,0,1,1,100000032,510000000544,
3.69952,um,Dendrite,0,1,1,100000033,510000000575,
1.85681,um,Dendrite,0,1,1,100000034,510000000591,
1.19496,um,Dendrite,0,1,1,100000035,510000000599,
2.05725,um,Dendrite,0,1,1,100000036,510000000603,
1.93932,um,Dendrite,0,1,1,100000037,510000000611,
1.65383,um,Dendrite,0,1,1,100000037,510000000618,
0.485088,um,Dendrite,1,1,1,100000037,510000000624,
1.47971,um,Dendrite,1,2,1,100000037,510000000626,
1.11063,um,Dendrite,0,1,1,100000038,510000000632,
1.10295,um,Dendrite,0,1,1,100000039,510000000636,
1.19297,um,Dendrite,0,1,1,100000040,510000000641,
4.21615,um,Dendrite,0,1,1,100000041,510000000646,
3.21552,um,Dendrite,0,1,1,100000042,510000000663,
1.75433,um,Dendrite,0,1,1,100000043,510000000676,
5.53987,um,Dendrite,0,1,1,100000044,510000000683,
3.67445,um,Dendrite,0,1,1,100000045,510000000706,
2.29178,um,Dendrite,0,1,1,100000046,510000000720,
2.56544,um,Dendrite,0,1,1,100000046,510000000729,
2.74148,um,Dendrite,0,1,1,100000047,510000000739,
2.03663,um,Dendrite,0,1,1,100000048,510000000749,
5.98846,um,Dendrite,0,1,1,100000049,510000000757,
3.8988,um,Dendrite,0,1,1,100000050,510000000782,
2.17194,um,Dendrite,0,1,1,100000051,510000000798,
1.90497,um,Dendrite,0,1,1,100000052,510000000807,
3.36943,um,Dendrite,0,1,1,100000053,510000000814,
13.0919,um,Dendrite,0,1,1,100000054,510000000828,
8.18535,um,Dendrite,0,1,1,100000055,510000000884,
1.85386,um,Dendrite,0,1,1,100000056,510000000918,
1.6112,um,Dendrite,0,1,1,100000057,510000000926,
3.43391,um,Dendrite,0,1,1,100000058,510000000932,
4.14091,um,Dendrite,0,1,1,100000059,510000000945,
3.05477,um,Dendrite,0,1,1,100000060,510000000961,
7.3286,um,Dendrite,0,1,1,100000062,510000000974,
7.85146,um,Dendrite,0,1,1,100000063,510000001004,
3.87715,um,Dendrite,0,1,1,100000064,510000001037,
7.16542,um,Dendrite,0,1,1,100000065,510000001053,
