
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
171.299,°,Dendrite,0,1,1,100000000,510000000001,
-135.411,°,Dendrite,0,1,1,100000001,510000000045,
-56.8973,°,Dendrite,0,1,1,100000002,510000000065,
22.7541,°,Dendrite,0,1,1,100000003,510000000094,
176.454,°,Dendrite,0,1,1,100000004,510000000110,
42.9985,°,Dendrite,0,1,1,100000005,510000000125,
-16.7964,°,Dendrite,0,1,1,100000006,510000000135,
-1.52259,°,Dendrite,0,1,1,100000007,510000000165,
-19.2274,°,Dendrite,0,1,1,100000008,510000000186,
-16.1126,°,Dendrite,0,1,1,100000009,510000000212,
-13.0784,°,Dendrite,0,1,1,100000010,510000000220,
