
Dendrite Position
 ==================== 
Dendrite Position X,Dendrite Position Y,Dendrite Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
50.4413,49.1876,21.1327,um,Dendrite,Dendrite Position,0,1,1,100000000,510000000001,
59.7248,30.0048,22.9092,um,Dendrite,Dendrite Position,0,1,1,100000001,510000000045,
53.9716,24.8506,23.338,um,Dendrite,Dendrite Position,0,1,1,100000002,510000000065,
51.9208,22.0105,23.5581,um,Dendrite,Dendrite Position,0,1,1,100000003,510000000094,
56.3952,12.8621,24.3952,um,Dendrite,Dendrite Position,0,1,1,100000004,510000000110,
62.5378,64.1236,22.8184,um,Dendrite,Dendrite Position,0,1,1,100000005,510000000125,
56.8716,80.1231,22.5021,um,Dendrite,Dendrite Position,0,1,1,100000006,510000000135,
56.6813,82.5848,22.2647,um,Dendrite,Dendrite Position,0,1,1,100000007,510000000165,
23.9447,71.2281,19.4832,um,Dendrite,Dendrite Position,0,1,1,100000008,510000000186,
193.941,150.407,24.5068,um,Dendrite,Dendrite Position,0,1,1,100000009,510000000212,
197.839,118.052,23.1369,um,Dendrite,Dendrite Position,0,1,1,100000010,510000000220,
