
Dendrite Straightness
 ==================== 
Dendrite Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.917817,,Dendrite,0,1,1,100000000,510000000001,
0.965554,,Dendrite,0,1,1,100000001,510000000045,
0.939522,,Dendrite,0,1,1,100000002,510000000065,
0.864718,,Dendrite,0,1,1,100000003,510000000094,
0.90243,,Dendrite,0,1,1,100000004,510000000110,
0.909963,,Dendrite,0,1,1,100000005,510000000125,
0.921412,,Dendrite,0,1,1,100000006,510000000135,
0.902646,,Dendrite,0,1,1,100000007,510000000165,
0.949256,,Dendrite,0,1,1,100000008,510000000186,
0.981442,,Dendrite,0,1,1,100000009,510000000212,
0.867096,,Dendrite,0,1,1,100000010,510000000220,
