
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
6.9933,um,Dendrite,0,1,1,100000000,510000000001,
4.5937,um,Dendrite,0,1,1,100000001,510000000030,
8.95332,um,Dendrite,0,1,1,100000002,510000000049,
5.44899,um,Dendrite,0,1,1,100000003,510000000086,
2.82996,um,Dendrite,0,1,1,100000004,510000000109,
2.99126,um,Dendrite,0,1,1,100000005,510000000120,
3.02915,um,Dendrite,0,1,1,100000006,510000000131,
4.1498,um,Dendrite,0,1,1,100000007,510000000143,
2.79818,um,Dendrite,0,1,1,100000008,510000000161,
8.27223,um,Dendrite,0,1,1,100000009,510000000172,
2.5952,um,Dendrite,0,1,1,100000010,510000000207,
3.54812,um,Dendrite,0,1,1,100000011,510000000217,
5.91642,um,Dendrite,0,1,1,100000012,510000000232,
4.50374,um,Dendrite,0,1,1,100000013,510000000256,
2.63571,um,Dendrite,0,1,1,100000014,510000000274,
2.53323,um,Dendrite,0,1,1,100000015,510000000285,
8.3922,um,Dendrite,0,1,1,100000016,510000000304,
5.66018,um,Dendrite,0,1,1,100000017,510000000372,
2.08442,um,Dendrite,0,1,1,100000018,510000000420,
2.32201,um,Dendrite,0,1,1,100000019,510000000437,
5.67386,um,Dendrite,0,1,1,100000020,510000000456,
3.80873,um,Dendrite,0,1,1,100000021,510000000503,
2.98404,um,Dendrite,0,1,1,100000022,510000000534,
10.6392,um,Dendrite,0,1,1,100000023,510000000547,
2.49095,um,Dendrite,0,1,1,100000024,510000000591,
1.81031,um,Dendrite,0,1,1,100000025,510000000601,
