
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
73.717,°,Dendrite,0,1,1,100000000,510000000001,
-19.4936,°,Dendrite,0,1,1,100000001,510000000030,
-40.3208,°,Dendrite,0,1,1,100000002,510000000049,
159.866,°,Dendrite,0,1,1,100000003,510000000086,
134.941,°,Dendrite,0,1,1,100000004,510000000109,
151.498,°,Dendrite,0,1,1,100000005,510000000120,
-131.133,°,Dendrite,0,1,1,100000006,510000000131,
-121.853,°,Dendrite,0,1,1,100000007,510000000143,
-93.2417,°,Dendrite,0,1,1,100000008,510000000161,
-120.224,°,Dendrite,0,1,1,100000009,510000000172,
51.2974,°,Dendrite,0,1,1,100000010,510000000207,
38.4846,°,Dendrite,0,1,1,100000011,510000000217,
44.2243,°,Dendrite,0,1,1,100000012,510000000232,
-17.3372,°,Dendrite,0,1,1,100000013,510000000256,
-88.5265,°,Dendrite,0,1,1,100000014,510000000274,
8.70226,°,Dendrite,0,1,1,100000015,510000000285,
24.6968,°,Dendrite,0,1,1,100000016,510000000304,
-63.5249,°,Dendrite,0,1,1,100000017,510000000372,
17.9263,°,Dendrite,0,1,1,100000018,510000000420,
-90,°,Dendrite,0,1,1,100000019,510000000437,
4.92346,°,Dendrite,0,1,1,100000020,510000000456,
47.9241,°,Dendrite,0,1,1,100000021,510000000503,
-69.9029,°,Dendrite,0,1,1,100000022,510000000534,
171.227,°,Dendrite,0,1,1,100000023,510000000547,
30.3431,°,Dendrite,0,1,1,100000024,510000000591,
86.9804,°,Dendrite,0,1,1,100000025,510000000601,
