
Dendrite Length
 ==================== 
Dendrite Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
7.53652,um,Dendrite,0,1,1,100000000,510000000001,
4.15233,um,Dendrite,0,1,3,100000001,510000000018,
7.11546,um,Dendrite,0,1,4,100000002,510000000026,
3.48976,um,Dendrite,0,1,5,100000003,510000000043,
4.04155,um,Dendrite,0,1,6,100000004,510000000050,
2.27629,um,Dendrite,0,1,7,100000005,510000000059,
2.98655,um,Dendrite,0,1,8,100000006,510000000064,
2.05152,um,Dendrite,0,1,9,100000007,510000000070,
6.25826,um,Dendrite,0,1,9,100000008,510000000074,
2.33492,um,Dendrite,0,1,10,100000009,510000000085,
7.19382,um,Dendrite,0,1,10,100000010,510000000088,
2.65084,um,Dendrite,0,1,11,100000011,510000000101,
10.6164,um,Dendrite,0,1,11,100000012,510000000106,
3.4626,um,Dendrite,0,1,12,100000013,510000000119,
2.02867,um,Dendrite,0,1,13,100000014,510000000126,
7.09448,um,Dendrite,0,1,13,100000015,510000000130,
10.1664,um,Dendrite,0,1,13,100000016,510000000143,
5.65823,um,Dendrite,0,1,14,100000017,510000000155,
2.12465,um,Dendrite,0,1,15,100000018,510000000168,
2.30453,um,Dendrite,0,1,16,100000019,510000000172,
6.47839,um,Dendrite,0,1,19,100000020,510000000176,
5.00593,um,Dendrite,0,1,20,100000021,510000000212,
6.32297,um,Dendrite,0,1,22,100000022,510000000230,
8.09288,um,Dendrite,0,1,44,100000023,510000000264,
7.09037,um,Dendrite,0,1,45,100000024,510000000305,
4.42409,um,Dendrite,0,1,46,100000025,510000000344,
