
Dendrite Orientation Angle
 ==================== 
Dendrite Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
25.9423,°,Dendrite,0,1,1,100000000,510000000001,
21.1829,°,Dendrite,0,1,3,100000001,510000000018,
24.0331,°,Dendrite,0,1,4,100000002,510000000026,
63.0692,°,Dendrite,0,1,5,100000003,510000000043,
53.2692,°,Dendrite,0,1,6,100000004,510000000050,
62.8601,°,Dendrite,0,1,7,100000005,510000000059,
66.6908,°,Dendrite,0,1,8,100000006,510000000064,
64.6317,°,Dendrite,0,1,9,100000007,510000000070,
18.6567,°,Dendrite,0,1,9,100000008,510000000074,
59.196,°,Dendrite,0,1,10,100000009,510000000085,
21.4234,°,Dendrite,0,1,10,100000010,510000000088,
75.339,°,Dendrite,0,1,11,100000011,510000000101,
28.9622,°,Dendrite,0,1,11,100000012,510000000106,
68.5858,°,Dendrite,0,1,12,100000013,510000000119,
61.5134,°,Dendrite,0,1,13,100000014,510000000126,
21.7013,°,Dendrite,0,1,13,100000015,510000000130,
30.8428,°,Dendrite,0,1,13,100000016,510000000143,
64.751,°,Dendrite,0,1,14,100000017,510000000155,
75.3902,°,Dendrite,0,1,15,100000018,510000000168,
63.3264,°,Dendrite,0,1,16,100000019,510000000172,
-149.412,°,Dendrite,0,1,19,100000020,510000000176,
-153.107,°,Dendrite,0,1,20,100000021,510000000212,
-160.149,°,Dendrite,0,1,22,100000022,510000000230,
-172.942,°,Dendrite,0,1,44,100000023,510000000264,
-170.268,°,Dendrite,0,1,45,100000024,510000000305,
175.354,°,Dendrite,0,1,46,100000025,510000000344,
