
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,TrackID,ID,
4.30165,um,Filament,6,1100000000,100000000,
4.82428,um,Filament,7,,100000001,
9.10051,um,Filament,7,1100000000,100000002,
13.597,um,Filament,25,1100000003,100000003,
12.392,um,Filament,26,1100000003,100000004,
5.9379,um,Filament,27,1100000003,100000005,
2.90117,um,Filament,54,1100000006,100000006,
2.81932,um,Filament,55,1100000006,100000007,
2.77796,um,Filament,56,1100000006,100000008,
3.9958,um,Filament,57,1100000006,100000009,
3.59198,um,Filament,58,1100000006,100000010,
3.48573,um,Filament,59,1100000006,100000011,
2.38929,um,Filament,60,1100000006,100000012,
2.3576,um,Filament,61,1100000006,100000013,
2.83507,um,Filament,62,1100000006,100000014,
3.4922,um,Filament,63,1100000006,100000015,
5.45907,um,Filament,64,1100000006,100000016,
3.93691,um,Filament,65,1100000006,100000017,
2.78941,um,Filament,66,1100000006,100000018,
