
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
2.96454,um,MeasurementPoint,A-B,1,
1.73507,um,MeasurementPoint,C-D,3,
5.20655,um,MeasurementPoint,E-F,5,
7.02646,um,MeasurementPoint,G-H,7,
4.4419,um,MeasurementPoint,I-J,9,
8.91147,um,MeasurementPoint,K-L,11,
6.40356,um,MeasurementPoint,M-N,13,
4.06355,um,MeasurementPoint,O-P,15,
5.98854,um,MeasurementPoint,Q-R,17,
2.81111,um,MeasurementPoint,S-T,19,
4.21172,um,MeasurementPoint,U-V,21,
2.92914,um,MeasurementPoint,W-X,23,
5.62445,um,MeasurementPoint,Y-Z,25,
5.53378,um,MeasurementPoint,A-B,27,
4.03313,um,MeasurementPoint,C-D,29,
