
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
5.43118,um,MeasurementPoint,A-B,1,
6.00321,um,MeasurementPoint,C-D,3,
5.21116,um,MeasurementPoint,E-F,5,
5.37715,um,MeasurementPoint,G-H,7,
7.52571,um,MeasurementPoint,I-J,9,
3.58868,um,MeasurementPoint,K-L,11,
4.70739,um,MeasurementPoint,M-N,13,
5.24357,um,MeasurementPoint,O-P,15,
5.42101,um,MeasurementPoint,Q-R,17,
7.28001,um,MeasurementPoint,S-T,19,
5.83413,um,MeasurementPoint,U-V,21,
4.09073,um,MeasurementPoint,W-X,23,
7.69573,um,MeasurementPoint,Y-Z,25,
4.44378,um,MeasurementPoint,A-B,27,
2.43461,um,MeasurementPoint,C-D,29,
3.96659,um,MeasurementPoint,E-F,31,
4.47642,um,MeasurementPoint,G-H,33,
3.71001,um,MeasurementPoint,I-J,35,
2.72695,um,MeasurementPoint,K-L,37,
3.96855,um,MeasurementPoint,M-N,39,
3.44493,um,MeasurementPoint,O-P,41,
4.95498,um,MeasurementPoint,Q-R,43,
