
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
8.77373,um,MeasurementPoint,A-B,1,
7.93312,um,MeasurementPoint,C-D,3,
11.2738,um,MeasurementPoint,E-F,5,
9.32937,um,MeasurementPoint,G-H,7,
8.05322,um,MeasurementPoint,I-J,9,
8.1479,um,MeasurementPoint,K-L,11,
7.69251,um,MeasurementPoint,M-N,13,
7.70448,um,MeasurementPoint,O-P,15,
7.29286,um,MeasurementPoint,Q-R,17,
8.33945,um,MeasurementPoint,S-T,19,
8.75599,um,MeasurementPoint,U-V,21,
6.97395,um,MeasurementPoint,W-X,23,
7.27902,um,MeasurementPoint,Y-Z,25,
6.70323,um,MeasurementPoint,A-B,27,
