
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
7.54889,um,MeasurementPoint,A-B,1,
7.74932,um,MeasurementPoint,C-D,3,
7.59818,um,MeasurementPoint,E-F,5,
7.83341,um,MeasurementPoint,G-H,7,
7.35961,um,MeasurementPoint,I-J,9,
6.99295,um,MeasurementPoint,K-L,11,
7.2957,um,MeasurementPoint,M-N,13,
5.02141,um,MeasurementPoint,O-P,15,
7.56856,um,MeasurementPoint,Q-R,17,
7.47288,um,MeasurementPoint,S-T,19,
8.58529,um,MeasurementPoint,U-V,21,
6.30623,um,MeasurementPoint,W-X,23,
6.67427,um,MeasurementPoint,Y-Z,25,
7.27184,um,MeasurementPoint,A-B,27,
6.08548,um,MeasurementPoint,C-D,29,
6.63378,um,MeasurementPoint,E-F,31,
8.24952,um,MeasurementPoint,G-H,33,
