
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
7.84314,um,MeasurementPoint,A-B,1,
6.69405,um,MeasurementPoint,C-D,3,
8.97588,um,MeasurementPoint,E-F,5,
9.10558,um,MeasurementPoint,G-H,7,
8.23713,um,MeasurementPoint,I-J,9,
7.01551,um,MeasurementPoint,K-L,11,
6.66587,um,MeasurementPoint,M-N,13,
7.73996,um,MeasurementPoint,O-P,15,
8.93723,um,MeasurementPoint,Q-R,17,
8.8561,um,MeasurementPoint,S-T,19,
7.56587,um,MeasurementPoint,U-V,21,
7.95143,um,MeasurementPoint,W-X,23,
7.7425,um,MeasurementPoint,Y-Z,25,
7.10082,um,MeasurementPoint,A-B,27,
7.19097,um,MeasurementPoint,C-D,29,
6.45141,um,MeasurementPoint,E-F,31,
6.20958,um,MeasurementPoint,G-H,33,
6.49565,um,MeasurementPoint,I-J,35,
8.20727,um,MeasurementPoint,K-L,37,
7.00152,um,MeasurementPoint,M-N,39,
6.53869,um,MeasurementPoint,O-P,41,
7.5874,um,MeasurementPoint,Q-R,43,
7.78761,um,MeasurementPoint,S-T,45,
8.68708,um,MeasurementPoint,U-V,47,
