
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
2.29054,um,MeasurementPoint,A-B,1,
2.86525,um,MeasurementPoint,C-D,3,
1.61801,um,MeasurementPoint,E-F,5,
2.18066,um,MeasurementPoint,G-H,7,
2.90316,um,MeasurementPoint,I-J,9,
2.85029,um,MeasurementPoint,K-L,11,
1.42661,um,MeasurementPoint,M-N,13,
2.47736,um,MeasurementPoint,O-P,15,
1.9044,um,MeasurementPoint,Q-R,17,
0.981454,um,MeasurementPoint,S-T,19,
2.22649,um,MeasurementPoint,U-V,21,
1.93176,um,MeasurementPoint,W-X,23,
1.30878,um,MeasurementPoint,Y-Z,25,
0.618188,um,MeasurementPoint,A-B,27,
1.03648,um,MeasurementPoint,C-D,29,
1.58617,um,MeasurementPoint,E-F,31,
1.66767,um,MeasurementPoint,G-H,33,
1.39015,um,MeasurementPoint,I-J,35,
0.990682,um,MeasurementPoint,K-L,37,
0.768662,um,MeasurementPoint,M-N,39,
1.02846,um,MeasurementPoint,O-P,41,
0.570893,um,MeasurementPoint,Q-R,43,
0.640625,um,MeasurementPoint,S-T,45,
0.704517,um,MeasurementPoint,U-V,47,
0.726699,um,MeasurementPoint,W-X,49,
1.62666,um,MeasurementPoint,Y-Z,51,
0.853075,um,MeasurementPoint,A-B,53,
1.30394,um,MeasurementPoint,C-D,55,
2.38849,um,MeasurementPoint,E-F,57,
2.23874,um,MeasurementPoint,G-H,59,
0.745603,um,MeasurementPoint,I-J,61,
1.21397,um,MeasurementPoint,K-L,63,
1.44516,um,MeasurementPoint,M-N,65,
1.78303,um,MeasurementPoint,O-P,67,
1.54106,um,MeasurementPoint,Q-R,69,
0.508863,um,MeasurementPoint,S-T,71,
