
Detailed
 ==================== 
Distance,Unit,Category,Name,ID,
1.47459,um,MeasurementPoint,A-B,1,
1.06619,um,MeasurementPoint,C-D,3,
0.921544,um,MeasurementPoint,E-F,5,
1.90353,um,MeasurementPoint,G-H,7,
1.7407,um,MeasurementPoint,I-J,9,
1.55677,um,MeasurementPoint,K-L,11,
2.5049,um,MeasurementPoint,M-N,13,
2.52092,um,MeasurementPoint,O-P,15,
2.17758,um,MeasurementPoint,Q-R,17,
2.05923,um,MeasurementPoint,S-T,19,
1.13281,um,MeasurementPoint,U-V,21,
1.66436,um,MeasurementPoint,W-X,23,
1.2167,um,MeasurementPoint,Y-Z,25,
0.889257,um,MeasurementPoint,A-B,27,
1.19406,um,MeasurementPoint,C-D,29,
2.16782,um,MeasurementPoint,E-F,31,
1.75084,um,MeasurementPoint,G-H,33,
2.16799,um,MeasurementPoint,I-J,35,
2.4922,um,MeasurementPoint,K-L,37,
2.93344,um,MeasurementPoint,M-N,39,
2.19543,um,MeasurementPoint,O-P,41,
1.80473,um,MeasurementPoint,Q-R,43,
0.922876,um,MeasurementPoint,S-T,45,
0.882496,um,MeasurementPoint,U-V,47,
2.34199,um,MeasurementPoint,W-X,49,
1.26618,um,MeasurementPoint,Y-Z,51,
0.870513,um,MeasurementPoint,A-B,53,
0.851141,um,MeasurementPoint,C-D,55,
1.17865,um,MeasurementPoint,E-F,57,
1.06938,um,MeasurementPoint,G-H,59,
1.67404,um,MeasurementPoint,I-J,61,
1.4125,um,MeasurementPoint,K-L,63,
1.45782,um,MeasurementPoint,M-N,65,
1.13382,um,MeasurementPoint,O-P,67,
1.2805,um,MeasurementPoint,Q-R,69,
1.23853,um,MeasurementPoint,S-T,71,
0.939979,um,MeasurementPoint,U-V,73,
1.64992,um,MeasurementPoint,W-X,75,
1.8371,um,MeasurementPoint,Y-Z,77,
1.51861,um,MeasurementPoint,A-B,79,
1.50204,um,MeasurementPoint,C-D,81,
2.1738,um,MeasurementPoint,E-F,83,
1.1377,um,MeasurementPoint,G-H,85,
0.940956,um,MeasurementPoint,I-J,87,
1.49429,um,MeasurementPoint,K-L,89,
2.39203,um,MeasurementPoint,M-N,91,
1.67596,um,MeasurementPoint,O-P,93,
1.3515,um,MeasurementPoint,Q-R,95,
1.87883,um,MeasurementPoint,S-T,97,
2.42598,um,MeasurementPoint,U-V,99,
1.87791,um,MeasurementPoint,W-X,101,
1.72052,um,MeasurementPoint,Y-Z,103,
1.28657,um,MeasurementPoint,A-B,105,
3.02287,um,MeasurementPoint,C-D,107,
0.481912,um,MeasurementPoint,E-F,109,
0.698699,um,MeasurementPoint,G-H,111,
1.13391,um,MeasurementPoint,I-J,113,
0.616982,um,MeasurementPoint,K-L,115,
1.23923,um,MeasurementPoint,M-N,117,
1.77219,um,MeasurementPoint,O-P,119,
1.59633,um,MeasurementPoint,Q-R,121,
1.36402,um,MeasurementPoint,S-T,123,
1.02315,um,MeasurementPoint,U-V,125,
1.74952,um,MeasurementPoint,W-X,127,
